group,CD16,CD163,CD38,TCR-Va7-2,Anti-PE,CD94
healthy,-0.015696597830656,0.251621207454715,0.0563987298812534,0.502921773635208,-0.0725734530056135,0.143860845277065
healthy,0.198687766994442,-0.0804420864516623,-0.77364357672345,0.03221949851492,-0.0498382872625174,0.715202933292977
healthy,0.632757373328466,-0.0675794446147781,0.25602794548059,0.0963396100684246,0.162717483010001,-0.043655888050739
healthy,-0.195482444587494,-0.0045505705093868,0.0125141250459641,0.230664379404537,0.0210604794332247,-0.345504619548523
healthy,0.192495511975059,0.277350016540385,-0.221921517310155,0.223568895217514,0.254007637068731,0.499683856283914
moderate,0.382782704107321,-0.156248536883715,0.21971266029803,-0.279537130597278,-0.35293600893333,-0.0123569240656887
moderate,0.646121480489762,0.115327809744228,0.208266947011884,-0.21300614129243,-0.0061454873923889,-0.0253200741230215
moderate,0.0962799794844083,0.3368891542884,-0.616547385442404,0.129399492285238,0.0372756330991514,0.190867025901808
severe,0.692818867419526,-0.0590264500827128,-0.019227898772787,-0.0524072282568239,-0.105663975082246,0.136089596599049
severe,0.367294234351492,-0.0686917032626309,-0.345845402632071,-0.0527968062893033,0.0624732457749687,0.268985046150568
severe,-0.14704982287845,-0.459908658271655,-0.133358407831478,-0.0259518351574005,-0.465423324579472,0.0484417466680815
severe,-0.666772910766318,-0.0370301224163523,-0.198757141707642,-0.0414719017089646,-0.169230812022066,-0.0351391188837666
