group,CD8,CD56,CD95,CD45RA,CD16,CD38,Anti-PE,CD94
healthy,0.44838082519101,0.264952704677391,0.362901420872884,0.186610107092111,0.442418406802134,-0.0390208892484502,0.414328068323165,0.176492153545157
healthy,-0.100238624034824,-0.141597955582325,-0.206362724468055,0.273698272812785,0.0212351618536969,0.662896237021161,0.128285457323221,-0.73703834105062
healthy,0.138664501710538,0.0535100531761966,0.0025937527857505,0.166246460235593,0.420899471241782,0.0439840892108908,0.0448920607246151,-0.0384444309336286
healthy,0.138955949999598,0.440203117690815,0.0085722469769554,0.104432203323071,0.454692373935021,-0.372596286283021,0.0495264362072227,0.393944396537093
healthy,0.123940729210729,0.337517048988409,0.0435475462664971,0.230758661524874,0.407874096546122,0.0501483196525856,0.0489479705228915,0.150826197859234
moderate,0.1801110336908,0.387902598317034,0.174926605115836,0.434295481452605,0.504516453638761,0.444811211331555,0.0756042819087854,0.0682951425606953
moderate,0.0382104186224791,0.1419037422682,-0.0455309022582081,-0.0661315331892356,0.142008687142081,-0.281519394522945,-0.175003807832198,0.665577009323987
moderate,-0.175240533655851,-0.0679968438068698,-0.430545053358428,-0.198828031106197,-0.569943820610128,0.366241354477442,-0.0334191643601842,0.0348813897683905
severe,0.200560976693657,0.260902893803649,0.185748723799126,0.308674909368257,0.70013746034883,0.215506774748354,0.0550195873491919,0.136087751280597
severe,-0.0103162478679057,-0.252236852566397,-0.191886755545384,-0.238340631597662,-0.12870446758922,0.267836217948393,-0.224418899720184,-0.226781966380861
severe,-0.126713141808258,-0.0212882689652462,0.14011442650451,0.264245813880774,-0.0608175354914826,-0.0990017813586161,-0.030010639303281,0.363449941102894
severe,-0.279526412299294,0.101136228590965,-0.38781542486799,-0.0818798079210499,0.0118916970036831,-0.0395350163425608,0.104042805037259,0.570518960670445
