group,CD3,CD8,CD20,CD45RO,CD16,CD86,CD38,CD94
healthy,0.196703601224619,0.146235636316733,0.138848517522012,0.0262259967478125,-0.371828784083744,0.0762166289360512,-0.259008946608793,0.451966772984075
healthy,0.0391431451605465,0.0141272882413791,0.0931585953253368,0.143137946368222,0.109207820367443,0.0073926571852379,-0.706711658625009,0.658790782849805
healthy,0.240765558195387,0.247057029600128,-0.213786049645491,0.116141957385506,-0.472970675532475,0.0764864048699272,-0.342340030875422,0.520164731547811
healthy,0.0676908702966197,-0.0207552682510957,-0.0924775668864164,0.0784771128877179,-0.282529650263994,0.403318224401981,-0.429850177050299,0.528508088398896
healthy,0.286909148021455,0.242736293489388,0.0249954119541899,0.301415523300369,0.0158891950639641,0.176281074462562,-0.315199423335942,0.57303456095737
moderate,0.238231676546258,0.502365754387083,-0.282109155829046,0.0751506951627067,0.0346424708153035,0.191127600286718,-0.216182718397063,-0.243537234893105
moderate,0.480329393593662,0.235404761747803,0.109564718212051,0.194903185488663,0.381248703861936,0.186732792689238,-0.315637877985199,0.596704926565249
moderate,0.284609114353193,0.0602093116215152,-0.0415557445853211,0.401715440573572,0.321578210751077,0.214749310346257,-0.368401134657289,0.124169396295424
severe,0.328773315556233,0.252037920919121,0.415216500054672,0.274808784886777,-0.186796396332985,0.266662834940055,-0.147140299905527,0.316322622262894
severe,-0.1832199796662,-0.170668059232129,-0.0058027106309788,-0.0002386467888683,-0.118655249510482,0.0611383911066656,0.179920019985023,-0.311448028328133
severe,0.0890471544761419,0.0441903089842262,0.430599694192143,-0.0648695765555012,-0.0387891368095283,-0.03562469321503,-0.349958990251434,0.294003086769416
severe,0.21398900242842,-0.138069905531911,0.23544410428653,-0.0268183256516532,-0.797319748449229,-0.0370432009342405,-0.114398891816454,-0.0327105133035917
