TF_name	target_id	target_name	target_synonyms
TFDP1	ENSG00000001460	STPG1	C1orf201,MAPO2
TFDP1	ENSG00000001629	ANKIB1	-
TFDP1	ENSG00000004534	RBM6	3G2,DEF-3,DEF3,HLC-11,NY-LU-12,g16
TFDP1	ENSG00000004838	ZMYND10	BLU,CILD22,FLU
TFDP1	ENSG00000005238	FAM214B	KIAA1539
TFDP1	ENSG00000006007	GDE1	363E6.2,MIR16
TFDP1	ENSG00000006534	ALDH3B1	ALDH4,ALDH7
TFDP1	ENSG00000007402	CACNA2D2	CACNA2D
TFDP1	ENSG00000007968	E2F2	E2F-2
TFDP1	ENSG00000008300	CELSR3	-
TFDP1	ENSG00000008988	RPS20	S20
TFDP1	ENSG00000009780	FAM76A	-
TFDP1	ENSG00000010219	DYRK4	-
TFDP1	ENSG00000010256	UQCRC1	D3S3191,QCR1,UQCR1
TFDP1	ENSG00000010292	NCAPD2	CAP-D2,CNAP1,hCAP-D2
TFDP1	ENSG00000010626	LRRC23	LRPB7
TFDP1	ENSG00000011422	PLAUR	CD87,U-PAR,UPAR,URKR
TFDP1	ENSG00000011426	ANLN	FSGS8,Scraps,scra
TFDP1	ENSG00000011485	PPP5C	PP5,PPP5,PPT
TFDP1	ENSG00000012061	ERCC1	COFS4,RAD10,UV20
TFDP1	ENSG00000012211	PRICKLE3	LMO6
TFDP1	ENSG00000014164	ZC3H3	ZC3HDC3
TFDP1	ENSG00000019144	PHLDB1	hsa-mir-6716
TFDP1	ENSG00000024422	EHD2	PAST2
TFDP1	ENSG00000025293	PHF20	C20orf104,GLEA2,HCA58,NZF,TDRD20A,TZP
TFDP1	ENSG00000037637	FBXO42	Fbx42,JFK
TFDP1	ENSG00000039650	PNKP	AOA4,EIEE10,MCSZ,PNK
TFDP1	ENSG00000042753	AP2S1	AP17,CLAPS2,FBH3,FBHOk,HHC3
TFDP1	ENSG00000044459	CNTLN	C9orf101,C9orf39,bA340N12.1
TFDP1	ENSG00000047621	C12orf4	-
TFDP1	ENSG00000047849	MAP4	-
TFDP1	ENSG00000052344	PRSS8	CAP1,PROSTASIN
TFDP1	ENSG00000054118	THRAP3	TRAP150
TFDP1	ENSG00000054179	ENTPD2	CD39L1,NTPDase-2
TFDP1	ENSG00000054611	TBC1D22A	C22orf4,HSC79E021
TFDP1	ENSG00000055070	SZRD1	C1orf144
TFDP1	ENSG00000055483	USP36	DUB1
TFDP1	ENSG00000058729	RIOK2	RIO2
TFDP1	ENSG00000063046	EIF4B	EIF-4B,PRO1843
TFDP1	ENSG00000063180	CA11	CARPX1
TFDP1	ENSG00000063241	ISOC2	-
TFDP1	ENSG00000067182	TNFRSF1A	CD120a,FPF,TBP1,TNF-R,TNF-R-I,TNF-R55,TNFAR,TNFR1,TNFR55,TNFR60,p55,p55-R,p60
TFDP1	ENSG00000067704	IARS2	CAGSSS,ILERS
TFDP1	ENSG00000068001	HYAL2	LUCA2
TFDP1	ENSG00000068028	RASSF1	123F2,NORE2A,RASSF1A,RDA32,REH3P21
TFDP1	ENSG00000068903	SIRT2	SIR2,SIR2L,SIR2L2
TFDP1	ENSG00000068971	PPP2R5B	B56B,PR61B
TFDP1	ENSG00000069329	VPS35	MEM3,PARK17
TFDP1	ENSG00000069399	BCL3	hsa-mir-8085
TFDP1	ENSG00000070759	TESK2	-
TFDP1	ENSG00000070814	TCOF1	MFD1,TCS,TCS1,treacle
TFDP1	ENSG00000071282	LMCD1	-
TFDP1	ENSG00000072110	ACTN1	BDPLT15
TFDP1	ENSG00000073050	XRCC1	RCC
TFDP1	ENSG00000073060	SCARB1	CD36L1,CLA-1,CLA1,HDLQTL6,SR-BI,SRB1
TFDP1	ENSG00000073670	ADAM11	MDC
TFDP1	ENSG00000074855	ANO8	KIAA1623,TMEM16H
TFDP1	ENSG00000075624	ACTB	BRWS1,PS1TP5BP1
TFDP1	ENSG00000075702	WDR62	C19orf14,MCPH2
TFDP1	ENSG00000077935	SMC1B	SMC1BETA,SMC1L2
TFDP1	ENSG00000078246	TULP3	TUBL3
TFDP1	ENSG00000078487	ZCWPW1	ZCW1
TFDP1	ENSG00000079337	RAPGEF3	CAMP-GEFI,EPAC,EPAC1,HSU79275,bcm910
TFDP1	ENSG00000079616	KIF22	A-328A3.2,KID,KNSL4,OBP,OBP-1,OBP-2,SEMDJL2
TFDP1	ENSG00000079999	KEAP1	INrf2,KLHL19
TFDP1	ENSG00000080839	RBL1	CP107,PRB1,p107
TFDP1	ENSG00000080845	DLGAP4	DAP-4,DAP4,DLP4,SAPAP-4,SAPAP4
