group,CD19,CD20,CD95,CD197,HLA,CD86,CD27,CD38
healthy,0.229270571286278,0.309531679897273,-0.168274295395949,-0.232943706418484,0.290906936182045,-0.204207137803646,-0.172484699346881,-0.706081177394852
healthy,0.381150020790016,0.391751344671838,-0.178017334308455,0.0174764372826553,0.409341603425158,-0.0549103137573858,-0.16061101410303,-0.150455510603112
healthy,0.297017519602255,-0.0475309037685797,0.0733135559781455,0.59770966187084,0.214487864822561,0.199162822994762,0.0792066958504544,-0.293913087434819
healthy,-0.0625502611554608,-0.129735832598571,0.497031475537937,0.180593270571442,0.245247618561681,0.308205136783803,0.205003472631543,0.132176077157926
healthy,0.177206023113505,0.272072197854742,0.226092016986391,-0.0112509772796941,0.358172493597465,0.100052906653015,0.2548558762932,-0.517547706078505
moderate,0.0954912100128778,0.482751307969755,-0.361882750556768,-0.152404485003561,0.0793795357513045,-0.280225701667287,-0.436774496363005,-0.629896096607856
moderate,0.595919425773551,0.747014675465762,-0.129076768852522,0.171321438291376,0.519569463470552,-0.100022640580635,-0.115266957564358,-0.677179927866137
moderate,0.649004903514088,0.799983365787661,-0.363024531050707,-0.0398673190120226,0.658323066986611,-0.413886175636859,-0.583187515283672,-0.852692011722708
severe,0.435088751124802,0.815227233557688,-0.151951530391287,0.031230602643661,0.628191966620689,-0.340642141306647,-0.306215781492043,-0.73848374367637
severe,-0.477660225255999,-0.729450590016514,-0.125129016806259,-0.198083328012617,-0.651516183708082,-0.0994516958164017,0.0977530113261051,0.679293868240658
severe,0.174048125591015,0.770638120981698,-0.112354771616557,0.121548874662606,0.0750376592431124,-0.232290354626971,-0.263507623265073,-0.777038554660606
severe,0.483913910597112,0.81483564482858,-0.564413925208375,0.0181555760874648,-0.0664673015488722,-0.599907574189889,-0.562336692473115,-0.879886964815537
