group,CD8,CD19,CD20,CD45RA,HLA,CD16,CD86,CD38
healthy,0.0754954916260885,0.211151905349855,-0.136529034956127,-0.0459108962013906,0.450555881930283,0.0195859385727569,-0.168677137957767,-0.765807525742811
healthy,-0.0638764445080649,0.106435853198379,0.259101752740264,-0.219576983581912,0.221805805063472,-0.520386593057824,-0.0314703400914515,-0.420247849371875
healthy,-0.321960513390221,0.33369361753354,0.118778258489729,0.319307538194834,0.484913468154289,0.0278832093792311,0.300571214411304,-0.0143638047105599
healthy,0.128373219276665,0.0062381094828496,-0.126925217315684,-0.44272215922363,-0.12573615853738,-0.295842128387932,-0.480544340837634,-0.211802219993429
healthy,0.637789418017479,-0.263643097632637,-0.355444065299226,0.0519450495094964,-0.222146014167018,0.229011819851694,0.27433736472071,-0.0408083066421393
moderate,-0.113288091881532,0.174753404421775,0.46715357493314,0.103847382947288,0.177787190865341,-0.13992478599357,-0.249776655450324,-0.732566698207615
moderate,0.0826543817082865,0.570960540979941,0.843279291118718,0.346841236133806,0.608054638039857,0.0794479084166949,-0.227298862773471,-0.800618589980037
moderate,-0.0054429564083598,0.660466135977248,0.775988089532582,0.534329546318968,0.634842875072592,0.0024547463338772,-0.371222066645265,-0.834597190127283
severe,-0.0485432057404899,0.439849781878946,0.802208469142292,0.240070303942338,0.645936331035468,-0.0267817535008885,-0.332473244057962,-0.755788948162295
severe,0.0805669110212586,0.514402095459795,0.780555058380362,0.335766073671136,0.580442274078234,0.113076850027786,-0.0140678193891659,-0.595917235353426
severe,-0.0667314779463094,0.269495178511407,0.819081437327072,0.234462475210711,0.31088236581244,-0.172128029649646,-0.31367706232484,-0.754412351894175
severe,0.0604207713434675,0.481718845030975,0.818727318909203,0.502701122301959,0.0617581171077713,0.0021096851424544,-0.528014260953812,-0.87192934901049
