group,CD19,CD20,CD45RA,HLA,CD1c,CD123,CD27,CD38
healthy,0.264993276870571,0.621254339785513,0.181930715003276,0.0602393666101459,0.111311260376215,0.121011982317306,-0.241603622857332,-0.414827195941836
healthy,0.256443729696384,0.170006412936164,0.111752812220933,0.161771825469396,0.201436897412677,0.136598922307551,-0.100051005429206,-0.228503683693899
healthy,0.218584746558955,0.13324986699109,0.324109237176759,0.526145644350578,0.170733759017114,-0.138623902782355,0.114041054234947,0.0994459165279663
healthy,-0.0180425195902687,-0.0395169433525348,0.326906456712121,0.149803859847502,0.0509800588335432,0.503288518727309,0.334818282566564,0.218436449802258
healthy,0.0650628986994822,0.136671907677988,0.238546464750435,0.225452079527375,0.520681212508506,0.158009576350901,0.0499894464356336,-0.323806550285889
moderate,0.0732093332495892,-0.407316508441264,0.0914275817116017,0.359329477960113,0.203017388983537,0.0472056741285592,0.364092996543124,0.346500984150064
moderate,0.475352099667922,0.740837751498018,0.292352534639075,0.475207682853019,0.149985540621848,0.0923269182376845,-0.209465906891284,-0.795618589963679
moderate,0.561443449867988,0.754182917153073,0.429081779107035,0.634285857728188,0.248541875971625,0.015905591377249,-0.638973850430136,-0.856579339333533
severe,0.371958301776765,0.719957527425742,0.214103888037944,0.342261709845165,0.15329149664622,0.154034668994523,-0.20497477810827,-0.833434781715847
severe,0.54407064272172,0.798270682667387,0.548900594268324,0.680192470308403,0.36665512813224,0.296643585852335,0.135524463276621,-0.4790108015011
severe,-0.0909964679603712,-0.164481932845141,-0.225731621558789,-0.0524836034400924,-0.224534704081746,0.0098722746229877,-0.291095768453692,-0.0897563761756575
severe,-0.116795378578343,-0.18525561253523,-0.0236810079385117,0.265844641224894,0.0784872781535716,0.358211096557231,0.106529068886677,-0.0225118505574649
