group,CD19,CD20,HLA,CD11c,CD86,CD27,CD38
healthy,-0.394535205893135,-0.0957694721751412,-0.368232391633846,-0.0208197336851338,-0.0610074181203014,-0.223161969363548,0.485467317050843
healthy,0.452077841419763,0.525021771533561,0.479643377284101,0.133226758256448,-0.0939182209964239,-0.0863602499041668,0.0533973064841166
healthy,-0.141732839805797,0.103283074970213,-0.0940023953619709,-0.0043982861706014,-0.0490863279485322,0.194786485841108,-0.230104228117422
healthy,0.0800828535400471,0.270165437252443,0.40751220483981,0.685848683572901,0.520772833043111,0.275366197489085,-0.149095670939874
healthy,-0.342803856979122,-0.37004839963157,-0.293137795284987,-0.05514863756193,0.104967568682767,0.190086471555229,0.285033647564687
moderate,0.107482831353449,-0.388791565536776,0.236796466733673,0.102638332126592,0.323044486049782,0.39099982615642,0.355331103550792
moderate,-0.353984077296412,-0.373976990625664,-0.101765527673366,0.0027077771226105,0.331188168461485,0.237341135069052,0.542317325194414
moderate,-0.612733663641176,-0.803611778847246,-0.666022768919368,-0.0061175762694778,0.410698458799076,0.636596390355956,0.85333748052486
severe,-0.438714420646132,-0.810677161124269,-0.592977839671075,0.0483270298049128,0.346128773163493,0.3137099474155,0.789845066679606
severe,-0.480870847573526,-0.695418754205568,-0.596366492189418,-0.189960457115154,-0.0470246615035817,0.115463884700297,0.743586601768375
severe,0.204372754009815,0.0691759931145339,-0.0110677103483678,-0.0924429678290714,-0.105425148188044,-0.123068356430778,0.0504621134053048
severe,-0.470575909094857,-0.828740824029663,0.0658483457625869,-0.214591296501391,0.622974926606562,0.595030462097869,0.898461180325438
