group,CD19,CD20,CD95,CD45RA,HLA,CD86,CD27,CD38
healthy,-0.0671298843213379,0.539007767775465,0.0905356739182265,0.151040546461582,-0.509627515654089,0.0805632498825995,-0.301986753588004,0.414089631029838
healthy,-0.402991629211593,-0.220118396080036,-0.0940885258849346,-0.57011516588905,-0.272896994712857,-0.0647091373413408,-0.397204477029371,-0.198244345167915
healthy,0.236225033851707,0.100027235284805,-0.183041931014743,-0.0740506911021983,0.288200720472314,-0.111324710134395,0.166303504831231,0.178795584280308
healthy,-0.0961819838908812,-0.187037423649555,-0.313459291428748,-0.42423217458923,-0.289723623538122,-0.41307024691213,-0.295982208395105,-0.117936734891568
healthy,0.198426039713395,0.340146121420755,-0.390408480811822,0.121924433715168,0.192822986903246,-0.239841708518191,-0.185563727134775,-0.36468424569806
moderate,0.124326861377842,0.414361080568229,-0.380890753171176,0.0104006182071803,0.0890804665898329,-0.235563036417658,-0.434316833059152,-0.682375111560468
moderate,-0.0598593134119966,-0.015270608056612,0.173811676313741,0.10632615827392,-0.216288385429282,-0.0303443477565227,-0.0450587390513014,-0.185269145587571
moderate,0.628896099873751,0.812013757616653,-0.364323818996458,0.440502262169208,0.629947524721221,-0.41060199790158,-0.593020031876316,-0.849854948959903
severe,0.418131632643961,0.832489345769429,-0.139825739829459,0.219105394229833,0.555274763375851,-0.335236930745234,-0.281537100975076,-0.771226371752323
severe,0.518105670017574,0.767096926491898,0.0989666168249324,0.346238998419619,0.673280992332399,0.0409183226444986,-0.121510427861115,-0.700708241657144
severe,0.249646057089356,0.55222394681453,-0.0887265656905016,0.133018049374399,0.109344269491448,-0.210612320402723,-0.381246618471339,-0.699091851391784
severe,0.473861027013302,0.81222135620936,-0.557282958505466,0.425142380923972,-0.059813983946124,-0.609523383825275,-0.592388765789471,-0.903423811986678
