group,CD19,CD20,CD95,HLA,CD27,CD38
healthy,0.227726116453877,0.552714713716059,0.171589607918912,0.386158822372767,0.23208477128317,0.257799184751875
healthy,0.421005666269992,0.336845052831295,-0.06910599623631,0.314430852201705,0.115919357104305,-0.0373367382151604
healthy,0.381806465384538,0.0216475227243841,0.0789995908477377,0.176357898292572,0.122673252694263,-0.0247170782121016
healthy,0.113114804752593,0.154223712772733,0.331915824222201,0.253043867323381,0.346641587110936,0.110641754255935
healthy,0.136770059770597,0.36866888731205,-0.25869190759353,0.0849635678273565,-0.405951042708269,0.173333147539878
moderate,0.0451915263790958,-0.55572235441668,0.455871085669949,-0.038410714478624,0.501312094478325,0.290958881182856
moderate,-0.318035930682007,-0.534652044430907,0.133497284129186,-0.669531629496938,0.315483734834167,0.676452790317289
moderate,0.674101479972157,0.77551947258341,-0.202107089361019,0.529863878691339,-0.417245604139002,-0.794319251477171
severe,-0.232740015739149,-0.508483847567213,0.238441624186767,-0.485242002518963,0.370790666730701,0.692376314185442
severe,0.339889215389986,0.697452355235133,-0.0515183688981865,0.335895061261402,-0.195887439757982,-0.720091845717975
severe,0.298315727154736,0.811597939195052,-0.14082116813105,0.10850485243218,-0.240226578732841,-0.750611146967331
severe,-0.38120602717484,-0.663110134724729,0.611189355645528,-0.184062615228474,0.77401894250691,0.821592696438949
