group,CD19,CD20,CD95,HLA,CD16,CD86,CD27,CD38
healthy,0.223028531664372,0.356787088880826,-0.164016920544277,0.153232887893806,-0.0506918195532556,-0.167661841257625,-0.246678872443177,-0.643486425093667
healthy,-0.484878024340562,-0.464137367482585,0.0343563059218943,-0.538923369248347,-0.30237913796234,0.0402191379538631,0.111654550427746,0.0146660632595814
healthy,-0.191284821107131,-0.010224861085612,-0.249613631335132,-0.434766521022214,-0.118371073097647,-0.130904211798171,-0.336339262346515,-0.209528459305937
healthy,-0.205488522766115,-0.225113855857967,-0.321775345867965,-0.373802371082557,-0.204385739979062,-0.510689789571507,-0.376158916348779,-0.0717748683052431
healthy,0.214851704578766,0.240721046369795,-0.447613231820166,-0.189355086175599,0.0881160881695413,-0.347018549564491,-0.158836314288303,-0.0011256400471854
moderate,0.0107279566332841,0.519975479028474,-0.480071063995211,-0.0115891986940427,-0.13574508581592,-0.343417451808831,-0.518279865952507,-0.561706423112615
moderate,-0.0180966897061389,0.307164373774321,-0.355166963595102,0.210431033211979,-0.132117816272661,-0.236379461501086,-0.386042989969883,-0.10633546503192
moderate,0.584497726027249,0.796230163306701,-0.394789891062554,0.638222960375872,-0.0423827137222963,-0.414565521764898,-0.637415898313657,-0.867239044092101
severe,0.361601749933127,0.748424121465551,-0.200110991861435,0.604747605055236,-0.0902351753575434,-0.381535998943048,-0.360528568647453,-0.783837890726428
severe,0.466074831911759,0.680449473233695,0.118506044911531,0.51099056314293,0.098302307714067,0.0058201517960515,-0.0725487119935816,-0.552664581870843
severe,0.157425463191608,0.225600509183238,0.280253390601247,0.166018875495565,0.566831869192414,0.272904681816076,0.238860222751066,-0.156345258003301
severe,0.473347697858869,0.808525014723085,-0.559789619569347,0.0465700543096095,-0.0683710230667724,-0.602189019321493,-0.64423910729252,-0.913947043290232
