group,CD19,CD20,CD95,HLA,CD27,CD38
healthy,-0.0970711316925055,0.137564376449601,0.0897034290309811,-0.573540968662718,-0.133567703945276,0.674812110071873
healthy,0.143500731977793,0.0398726423064889,0.0434013882935586,-0.0662472142483662,0.142873416627534,0.0914434506455854
healthy,0.303373692341238,0.157162321670541,-0.0464341184128009,0.173549582173606,0.289118626779566,0.0167287103419647
healthy,-0.126528318486833,-0.162837645704218,-0.324226890085472,-0.266133375702092,-0.268454747715323,-0.0639899927551285
healthy,0.37395943529251,0.354018312343298,-0.618336565781552,0.314469237983048,-0.0792252072968626,-0.420526785847127
moderate,0.123623987754514,0.479115801687924,-0.364504282290446,-0.0504836052608571,-0.318950567133179,-0.372080369574698
moderate,0.582319217313276,0.847065118757962,-0.179708792911045,0.646509842493507,-0.287244209312425,-0.668659184343835
moderate,0.613915757561628,0.817518219811456,-0.380414354025762,0.685699044091104,-0.63736485629553,-0.829624199149728
severe,0.459984648136138,0.793143982775218,-0.0922627698482757,0.705609318475885,-0.235824651002228,-0.590254049968913
severe,0.361571665506934,0.555453437656733,0.0686517239727678,0.534672976051328,-0.0007330782671207,-0.502154889550748
severe,-0.248778952948063,-0.670495224990274,0.200028606105529,-0.0578088566767003,0.235873646429267,0.755243071690894
severe,0.559495694728569,0.790846424000261,-0.486880112923105,0.121744107952704,-0.475494311955028,-0.645536370205489
