group,CD19,CD20,CD197,HLA,CD27,CD38
healthy,-0.317399051274092,-0.384486602140267,0.190844623587919,-0.281734714175007,0.103049616208014,0.617551220703752
healthy,-0.191630187946574,-0.371469326688947,-0.272433275809087,-0.220399889656709,0.0452816932553967,0.185137882546021
healthy,0.316980044962595,0.0576359847988757,0.546644041815234,-0.16144552200194,0.150872495195995,-0.253840469892536
healthy,-0.134865223595611,-0.142598464129293,0.672442002532958,0.0889083108213533,-0.102210348231607,0.0160863675554999
healthy,-0.221465135106447,-0.395288080337863,-0.131836174129675,0.0564420109539736,0.0999866108651588,0.240609415017548
moderate,-0.0688711763689739,-0.56088716668046,0.141023515584071,-0.0672866541010959,0.448846003034858,0.603867454411086
moderate,-0.620253078740852,-0.790888732167574,-0.0470227316376198,-0.695464024000231,0.275005308523599,0.781378589917088
moderate,-0.589778798467224,-0.807938102942472,0.013199785766718,-0.664366049941527,0.648143369772395,0.848266054557707
severe,-0.43775407505876,-0.800073683993248,-0.0043569411458426,-0.616252957703941,0.314458277567655,0.79308159574697
severe,-0.335374775024922,-0.659831074783091,-0.189885278667252,-0.460245622169055,0.154277809112776,0.727024541967688
severe,-0.219080188039265,-0.798784838479872,-0.0151826184879801,-0.139655955840923,0.279145166449574,0.842869699826127
severe,-0.483557172741343,-0.848999044376981,0.0168906621391333,-0.0944543298092769,0.633948228507534,0.895538300783356
