group,CD19,CD20,HLA,CD86,CD27,CD38
healthy,0.107565341819478,-0.507065216932186,0.513093890019081,-0.0950679829655586,0.308061432214689,-0.551522175783447
healthy,-0.300367638214837,-0.277981876592033,-0.176037555228593,0.078525748640497,0.0462730635591914,0.246033862510337
healthy,-0.106735730899904,0.0086459421746282,0.133362360812282,0.054798391671691,0.228715063603448,-0.0392443556621596
healthy,0.178702775119049,0.0076962140340488,0.0801587735978222,-0.0700612758702587,0.0957552308399995,0.0035312921025639
healthy,-0.401954749600829,-0.375581862455117,-0.486708307456193,0.290329395899541,0.220341007610144,0.237872413532954
moderate,-0.112406716253504,-0.369769554725499,-0.200091784516989,0.170461776492567,0.23266839642237,0.416986054065077
moderate,-0.562570895894289,-0.846050183281434,-0.545274178631811,0.268183412305975,0.279090504669639,0.803139630880479
moderate,-0.609408088427282,-0.805728664022552,-0.661753744077045,0.409560697819044,0.628985090817205,0.853294788342864
severe,-0.441820958598747,-0.811769001822646,-0.623730458958817,0.329081449254489,0.299751106590486,0.772203790630827
severe,-0.500307250189212,-0.754980984826742,-0.557799351238619,-0.0591561514024484,0.0340506063548538,0.665783193805515
severe,-0.158746730601614,-0.817309557494742,-0.151272543328642,0.315101334189522,0.313092094625703,0.772065326454671
severe,-0.511387285804661,-0.836246260155914,0.0266481094697523,0.602334788705885,0.577672815240607,0.854187652227886
