group,CD20,CD11c,CD38,CD20,CD38,CD20,CD38
healthy,0.462984765588582,0.0340672301101618,0.557121661885443,-0.547047889564322,0.365529915648903,0.755438303217195,-0.140344707436978
healthy,-0.464196325646978,0.101596764971477,0.430647508400367,-0.377829575150075,0.254124504186349,0.278156703926726,-0.144630188511953
healthy,0.191060077324971,0.171270576404466,-0.46311827099791,-0.0709206818430148,0.138668475824859,-0.0043774165670032,0.0557006114382943
healthy,-0.556027590320282,-0.76505762507653,0.40497871631266,0.209716572134328,0.195220289317826,-0.0624404931662539,-0.175686843000433
healthy,0.0975215021854774,0.374335698756974,-0.289351171033344,-0.484964087879369,0.503515754805372,-0.150197293827467,0.136765265733026
moderate,-0.346568030057342,-0.0090697918434842,0.308687935516968,-0.505869384338784,0.641996040370757,0.578027534246801,-0.352309015106179
moderate,-0.815562581879822,-0.0847123300177872,0.807335764723204,-0.85051173600111,0.763427214393672,0.144351021498683,0.1702449076202
moderate,-0.744270364755395,-0.0280353316794912,0.888298719414721,-0.807251824741975,0.834347120376598,-0.701415318170702,0.85812874641386
severe,-0.572099636794985,-0.016733340421461,0.838854864762547,-0.806483687363833,0.723454289491214,-0.632555604306242,0.695328118515991
severe,-0.790505347001046,-0.122594879359245,0.641218883477555,-0.778280716369775,0.721123599402575,-0.658603668234277,0.193242706300971
severe,-0.761017912637646,-0.0806392925210749,0.707893474319805,-0.826305365267448,0.779092815243189,0.832584099682396,-0.772853472756209
severe,-0.728619906677765,-0.223873445860544,0.89542988335304,-0.840350283401619,0.877876254432889,0.70985668381386,-0.530739378435369
