group,CD19,CD20,CD95,HLA,CD16,CD86,CD27,CD38
healthy,0.27486697882198,0.558611571085375,-0.0915476113236269,0.48247688695146,-0.0367965926660415,-0.134467148823086,-0.127873472337306,-0.391414739921878
healthy,0.0446950234486872,-0.129384510623847,0.105300394870245,-0.0900776441253952,0.567319045276158,0.0856454987646809,-0.0326638055101604,0.329657597639194
healthy,-0.271287557914433,-0.0499809503545889,-0.171625868742718,-0.204985306792107,-0.0685149225713119,-0.303014524905603,-0.195484919091925,0.0225919325986273
healthy,-0.0755857812308849,-0.0962156238403895,0.489105846189763,0.141548770204768,0.452395294511387,0.335291165916755,0.315745534281541,0.224001817979493
healthy,-0.325954254259413,-0.382818522053044,0.0326231319740164,0.0044928580538184,0.38541865229564,0.214090119775546,-0.265051346223951,0.213486115798382
moderate,-0.298494392797993,-0.314608200744176,0.233990390753158,-0.447238450714308,0.107098855171734,0.163695581052418,0.280090821469263,0.670140289353562
moderate,-0.572746193534909,-0.821538076274609,0.0945243578765518,-0.548252004330628,-0.035209517628378,0.24968789653192,0.301819976989955,0.804174872519554
moderate,-0.616044466084929,-0.779848291376485,0.341477480138481,-0.66588818234537,0.0344379576943207,0.404599451266267,0.587334395689696,0.869478593095579
severe,-0.414470737313423,-0.803103213722616,0.163858507561228,-0.658763754186064,0.0454269334697508,0.349611538377172,0.323705730820538,0.745852071228189
severe,-0.463743127187431,-0.749777458249594,-0.0897935058389945,-0.551665043167889,-0.12612400952589,-0.0218056951335938,0.138358040711341,0.710795937397744
severe,-0.104395897437701,-0.750701698152142,0.218452298226269,-0.131378788393335,0.0704985126336926,0.290184461303691,0.265469790660285,0.795158406626235
severe,-0.478630005462095,-0.814442239161231,0.563909005736866,-0.0605497204468433,0.0673967823390215,0.596947563317989,0.603685669712676,0.905716910743508
