group,CD19,CD20,HLA,CD16,CD11c,CD86,CD27,CD38
healthy,0.237130885478673,0.196486194643193,-0.0233510136560227,-0.0126168556390717,-0.150262187175325,-0.0812977750736575,-0.183708510082591,-0.668066548281095
healthy,-0.0155209248189501,0.140015541118193,0.216885783358067,0.5556417759128,0.265870800331063,-0.188384209980222,-0.124128039960457,-0.107647811881137
healthy,-0.249994924365147,0.0158218563976509,-0.284619573173323,-0.177694700025726,-0.216544477334687,-0.123464221283999,-0.179944779261249,-0.0196930160181956
healthy,0.329543289601256,0.496349965157419,0.494383650586096,0.383354735387963,0.57302893194619,0.524732987247215,0.129726461392117,-0.0717303324039266
healthy,-0.0817814660823962,-0.183613860405326,-0.241697267824887,-0.109043271138303,-0.119633217978954,0.0850453582467057,-0.0437610253651447,0.123820405190394
moderate,0.0405174457804007,0.496810462991185,0.060081539670903,-0.135579840831543,-0.164428707429043,-0.310963369274431,-0.461307767432047,-0.679127742793162
moderate,-0.578779963906405,-0.813675284126361,-0.690768713832995,-0.055078611493863,-0.0649859040520688,0.237499524837874,0.273343248453241,0.639950336666263
moderate,0.0297842464638695,0.241824921956758,0.316938141142559,0.103898605676576,0.0516704288803514,-0.120828302903301,-0.502496763189911,-0.426062387072768
severe,-0.446715296875193,-0.779833406702229,-0.697385921342378,0.050448647724567,0.0620132539889882,0.353693194983042,0.351625971215099,0.691059301882827
severe,0.338666653206227,0.718882704279959,0.518464493361413,0.083038001566744,0.228081405415587,0.0097601290101528,-0.169294755109592,-0.705020546802102
severe,-0.157650931775681,-0.645650240329794,-0.345938583366473,-0.2024169004059,-0.233996486095572,0.150420168633819,0.0741065509643587,0.657932941084612
severe,0.442610427729397,0.781656693487122,0.150266966147297,-0.0644104251124702,0.266976601736283,-0.576562429280472,-0.698795111116248,-0.905205925865934
