group,CD19,CD20,CD197,HLA,CD86,CD27,CD38
healthy,0.268746180200343,0.329766634447734,-0.2721204626185,0.204301950428896,-0.193811476525199,-0.0911294866791619,-0.613830481134033
healthy,0.208020444105826,0.483338758739402,0.0848321655493301,0.284347619010841,-0.181250066553067,-0.269189718515113,-0.263940798017029
healthy,-0.156985473874128,0.0796537367851455,-0.630615671419975,-0.354642432062109,0.127844570728733,-0.0339831428600599,-0.008969204307125
healthy,-0.059533596559304,-0.169258440882571,0.16233549476205,-0.326329738623807,-0.465867712892422,-0.305405512613442,-0.155810065371073
healthy,0.521189198123787,0.461728168084109,0.252124881980607,-0.0289222920685777,-0.452683783204163,0.029112272958964,-0.0767979486987246
moderate,0.125385521278325,0.460718204364919,-0.0431996034042062,0.106946942689552,-0.285843391070208,-0.428012613838346,-0.730458914661082
moderate,0.57174126083554,0.848431095809963,0.002979951211367,0.526580678532299,-0.205254440936704,-0.256152585730011,-0.773547809222323
moderate,0.515848971796449,0.759367244633532,-0.0167139519029416,0.671232521775625,-0.412073562077164,-0.717918375685089,-0.868489769087945
severe,0.452130959368164,0.820185474444568,0.0138434097793326,0.610597300052086,-0.32051207228501,-0.282732657253726,-0.768830052306002
severe,-0.411319552406688,-0.733225246073389,-0.141373538684175,-0.642611815223464,-0.0034860019911834,0.122764911427083,0.665778131226101
severe,-0.153077754994113,-0.39496236163126,0.0391288431893625,-0.491508028439501,0.119004472969357,0.19223726353018,0.298591533892532
severe,0.493337755372232,0.811688636555416,0.0395576126225611,0.168951354673511,-0.550909870359543,-0.667297876058593,-0.89199320049704
