group,CD19,CD20,CD95,HLA,CD86,CD27,CD38
healthy,-0.394053601698085,-0.382249538700036,0.0372832619939885,-0.0485990538339771,0.0148269472360204,0.0704925627336332,0.467937915219656
healthy,-0.267115714448284,-0.339067175129089,0.256906767282898,-0.282951391103483,0.217342301847297,0.40094966892601,0.297249967612282
healthy,-0.275779398683663,0.186410433359522,0.314777570604636,0.0853706330273203,0.0438695298661097,0.209628192420967,-0.0137753028483671
healthy,0.0058973486041316,-0.136295013959871,-0.147609152910488,-0.0348549128518969,-0.342617734698942,-0.181227988145351,0.0036057885193114
healthy,-0.164248940692722,-0.125273590803298,0.528005119850175,-0.264030548510935,0.302205203832633,0.427515117641287,-0.447056425589353
moderate,0.135559500990252,0.577191022998244,-0.0980280629673725,0.0917970517140721,-0.26494641487411,-0.0965822390723545,0.0888961948338453
moderate,0.457370199782064,0.77892022125158,-0.0911233507154474,0.436562125977551,-0.275940015014145,-0.296647401696136,-0.784026024869988
moderate,-0.557811073037636,-0.807948108998327,0.401639981380615,-0.586077450981212,0.425839105464571,0.519404806002503,0.780224720879206
severe,-0.426422505330256,-0.776274599536122,0.12542232414666,-0.74062080224581,0.273096944438081,0.268535928444431,0.552648994179868
severe,0.108879810367564,0.018132434621256,0.389241800509951,0.0131470679631467,0.462164705907107,0.40708634173541,0.445413836982445
severe,0.293633938320746,0.791562700678748,-0.144907356655884,0.220039621172066,-0.27570985944186,-0.330047655726585,-0.829506630985894
severe,-0.529721148453173,-0.776682122585811,0.636873174921652,0.052981137428889,0.599319712036905,0.56817612542159,0.783585030757431
