group,ETV6,GTF2I,MAFK,USF1,YY1
healthy,0.107201085708144,-0.188755403188458,0.155012710059479,0.0457976878607939,-0.0278917992693799
healthy,0.0263189315878669,0.0277389071110198,0.0200142084938355,0.0413599890563549,-0.0178707225782676
healthy,0.217626548306872,-0.0547493568590604,0.220393410062237,-0.158316342538129,0.120047431213854
healthy,0.178824803482734,-0.169774980544992,-0.169929569282154,0.223273941218644,0.196862271907281
healthy,0.0399283510708077,0.0357212428281809,-0.273467138579781,0.264697033654533,0.0908806448412837
moderate,-0.0158348956886415,0.0332674923020819,0.0930779216661551,-0.0306663835188512,-0.204346378928944
moderate,0.090869918188406,-0.106347143842671,0.120730572194476,0.0352818967594717,0.0399269431911903
moderate,0.0463622454471939,0.008004819366891,0.0393761309950803,0.0714549915283343,0.197944874732025
severe,0.144000068370719,-0.0147216776081293,0.131805142349346,-0.133986506596443,-0.0419552776259584
severe,0.0330104555141993,0.0271826098721491,0.0563460252967294,-0.110946752127917,-0.200072817897078
severe,0.478896565622086,0.410679644763688,0.43813867805871,-0.468422856560998,-0.411437610551004
severe,0.334131469182918,-0.0939446427172786,-0.174249782218909,0.0498028936074359,-0.0337719334084245
