group,CD69,CD14,CD16,CD11c,CD123,CD33,CD38
healthy,-0.0275645402519368,-0.0690986507750338,0.431618035983798,0.531774481077283,0.334999471261299,-0.0077971189062331,-0.104599596491453
healthy,0.478396077065363,0.574242395031247,-0.283746825971237,-0.144201362750859,-0.1832636287585,0.327797087439863,0.298474443024022
healthy,-0.166434777752798,-0.301186482412398,0.557170985316968,0.374938969428422,0.349818723478473,-0.176213924145775,-0.286893131646094
healthy,0.129625270395357,0.0825845113956378,0.222417493945585,0.166425215221558,-0.0172153107704411,-0.0369981149627951,-0.0420961742760505
healthy,-0.295463136439141,-0.335231560938681,0.577933376380123,0.413631536690023,0.585362237109978,-0.247960261479022,-0.352349216188702
moderate,0.498548852202513,0.689965020679193,-0.173383939722106,0.130553846708957,0.204329684626915,0.561527245417322,0.487981512905357
moderate,0.618577146585274,0.621473781457014,0.0183253225517682,0.0130510222878929,0.112058339171459,0.592460931227654,0.514745894256819
moderate,-0.0054210265406119,-0.0739322901887961,0.366087061807071,0.447541433444105,-0.248924719627678,-0.242709290241851,-0.378445085574949
severe,0.292843629891029,0.348750516173948,0.524254867798518,0.541233414771845,0.152809089445144,0.190778910007395,0.170260553060699
severe,-0.165743290218744,-0.0454677585507288,-0.020112794014807,0.181212368110857,-0.128736096505991,0.0202392500112142,-0.0066850063574551
severe,0.433214711959639,0.293503096405702,0.213438806934711,0.221108348474902,0.0431927640515957,0.214042055852675,0.125031484919155
severe,0.490104829222088,0.391352032159784,0.28332642768394,0.400477562775977,0.286878581449373,0.260225642476911,0.193085090379963
