group,CD69,HLA,CD14,CD163,CD33,CD38
healthy,-0.533166281445498,-0.242771698126906,-0.635920804393562,-0.425111860801638,-0.652318893494826,-0.596730453915056
healthy,0.523607102643205,-0.637644377963782,0.523886564492182,-0.060329382853956,0.206935624332853,0.345451073029092
healthy,0.392125481168108,-0.637586527156382,0.367649140191162,0.0334433620058437,0.195825459869476,0.279636347168981
healthy,-0.644487536199491,0.380454243606,-0.640969743480546,-0.322891240831637,-0.655870569411044,-0.662585579054465
healthy,-0.349293819850385,-0.183938163612146,-0.475589089789369,-0.614114314447585,-0.558644837739554,-0.542100123191945
moderate,-0.416259105505968,0.626506413042889,-0.695830323709216,-0.289811647760678,-0.719771133041902,-0.616876035363121
moderate,-0.278030771096248,0.478647608302752,-0.222306204414099,0.0362915074361176,-0.504335372452039,-0.345572334536083
moderate,-0.267953169061613,0.507320381085941,-0.330487657559926,-0.176316615711401,-0.564534304964922,-0.575421529436086
severe,-0.3144827193809,0.150254054069998,-0.323461728340389,-0.277959913320324,-0.0980998463748878,-0.281830351959124
severe,-0.319473950539963,-0.272541244103513,-0.562529764928707,-0.249233121651976,-0.713360731571493,-0.540271247163221
severe,-0.326095205987919,-0.210660496734458,-0.209978488344628,-0.183446422269752,-0.310248796109535,-0.281163500342768
severe,-0.0301880463308862,0.115555215714156,0.0021278971047624,-0.416065703128632,-0.329063605699155,-0.327942327005481
