group,CD69,HLA,CD14,CD16,CD38,CD69,CD14,CD33
healthy,-0.381210271228056,0.316377275590125,-0.452595309287377,0.268473545511257,-0.45153681201697,-0.590884773032262,-0.695367639913791,-0.669317106876453
healthy,-0.604002068074545,0.530639569728983,-0.713094242308514,0.427051671164256,-0.440228256583107,-0.23097334077788,-0.302731046411548,-0.336363054974353
healthy,-0.742942451572659,0.554111723807127,-0.824626885247903,0.505661606774134,-0.663095140862979,-0.673064637212388,-0.80308306155731,-0.540952670922772
healthy,-0.596395614446927,0.407891386000744,-0.696965009689267,0.824090744387937,-0.598809017671371,-0.58109211962837,-0.544748909195062,-0.705784506900831
healthy,0.453754614422707,-0.531540143354927,0.333052251923989,-0.0673626780527226,0.358898500278136,0.409039304499046,0.362281332333254,0.0585348901197409
moderate,0.232058981397367,-0.226976776669272,-0.058558237523984,0.375039496676777,0.10260417561392,-0.291406650029013,-0.636821820498078,-0.616251003857434
moderate,-0.565314973895923,0.602664908453312,-0.57574892748775,0.138988454948052,-0.390877113738014,-0.52610034893999,-0.431161311713928,-0.59837212632516
moderate,-0.331494466248767,0.601461533132133,-0.433468269232064,0.464961244927912,-0.525780843488213,-0.186362068338963,-0.36964851715226,-0.416542902119104
severe,-0.434118929062793,0.698823780908832,-0.3985639696629,0.714662938911584,-0.258053600430956,-0.252391075839045,-0.219555720750561,-0.181549012793073
severe,0.102574268231904,0.296453242867798,-0.26103454296725,0.0517834592797094,-0.148952548533903,0.08363128874517,-0.0962497227938595,-0.394584120662075
severe,-0.34599262194524,-0.261419362620411,-0.356628975650863,-0.505340771010363,-0.16245989527346,-0.382120716376893,-0.421881943263228,0.0185542057580935
severe,0.473814059452282,-0.399274966352725,0.129745955487708,-0.0670179352391817,0.572003030175188,-0.112747522957807,0.252670346093468,-0.164683267894002
