group,CD69,CD14,CD16,CD11c,CD123,CD33,CD38
healthy,-0.696674849904718,-0.74923664048052,0.287564002902312,0.0017803370409123,0.176189444001879,-0.660077212344037,-0.650472379917679
healthy,-0.581611010125962,-0.703253041158572,0.338723129636613,0.22118185487829,0.360931449988604,-0.372621062563305,-0.40627236171369
healthy,-0.636431234574474,-0.718935110586197,0.292554564559256,0.130150826014566,0.236936202960436,-0.480553561322417,-0.580160004504801
healthy,-0.528450504311963,-0.758836302396685,0.639360065882355,0.169749772859231,0.387492119111258,-0.60984577429436,-0.477035960167283
healthy,-0.759640165214856,-0.82104805566427,0.605917548547662,0.146859814422072,0.656086426644913,-0.663981870040703,-0.505672289590882
moderate,0.478446394404211,0.156660861537252,0.164231998634495,-0.0439059618065214,-0.237670229545681,0.219838206636138,0.0564283502732094
moderate,0.140072138249171,-0.0203062227970555,-0.476023122014463,-0.499993600157821,-0.170130456340322,0.231878615652889,0.0066244163576169
moderate,-0.220939068075827,-0.155210524203727,0.0774876664184691,-0.1967000416428,0.15207041096953,-0.239318553692523,-0.0415969339501149
severe,-0.477238255848591,-0.40866506491912,-0.33628672270319,-0.209743037152771,-0.228773604123035,-0.109835411969165,-0.49061012561683
severe,-0.169151741069093,-0.0385927119877064,-0.654403366091949,-0.324051650707391,-0.494489213644605,0.293137792958097,0.0691997559683128
severe,0.22548117271407,0.410575756401172,-0.131305620814793,0.0579214886128002,-0.193415874627824,0.0186520030346699,-0.272967937185863
severe,-0.249898112102411,-0.199033254331929,-0.31192799702034,-0.666071273071868,-0.426037274485429,-0.0067822461504577,0.0149941656498024
