group,CD69,CD279,HLA,CD14,CD16,CD123,CD33,CD38
healthy,0.618594110499084,0.164363728298315,-0.314453057694068,0.675218427506614,-0.310451228659277,-0.240898528578774,0.580202492956158,0.620774775117838
healthy,0.582073799428544,0.018699821689298,-0.516752288301783,0.666165441704925,-0.433970118599757,-0.433200119803675,0.408803711966304,0.441820070162309
healthy,0.553019523633846,0.0328278687267813,-0.504095250863166,0.649891898783083,-0.573046589485092,-0.425652749722294,0.439344491208259,0.598206600440712
healthy,0.713412318228706,0.0644681727524434,-0.502297006108626,0.744011884818798,-0.70060115543273,-0.494045211217163,0.609400231553062,0.625417524452885
healthy,0.697328173898574,9.58610796195847e-05,-0.503828772186425,0.699736449992299,-0.618471473781385,-0.683555208086935,0.550272221459577,0.571474066978942
moderate,0.367559025523482,-0.0366860012996982,-0.601231964945415,0.664343323200569,-0.652377765066036,0.0899949095674438,0.692233642135787,0.541967094536066
moderate,-0.0258610806927047,-0.320572800320813,-0.257473752143959,-0.164296271112693,-0.454738409897155,-0.222337721681678,0.0499512522529246,-0.148527657207046
moderate,0.362715940583101,-0.0705811142401331,-0.110506144272003,0.684763369787405,-0.279470912268252,-0.267154462396454,0.197126518921474,0.0570729156494478
severe,-0.51410689440694,-0.112790656241845,0.593101895520853,-0.35390498622385,0.434735728090807,0.096768492786785,-0.529222564142637,-0.426672712111045
severe,0.218143506558506,0.0156687464323998,0.0799476432074581,0.355838728927867,-0.522074237628422,-0.267525614905962,0.607429935386639,0.412197436038562
severe,-0.249023808203701,-0.601342988792092,-0.303256422096692,-0.125318829248048,-0.349725146772365,-0.258317994329121,-0.0177614551070574,-0.179613336985835
severe,0.58557756310442,-0.0707397315783666,-0.470081406141382,0.384181019096792,-0.0812224302801763,-0.0578286325306612,0.33330349366213,0.350226347047793
