group,CD69,CD14,CD16,CD11c,CD33,CD38
healthy,-0.510836688373459,-0.437917390417247,-0.196912397612475,0.0810092639998171,-0.375122984244578,-0.409990726567109
healthy,0.477862045567186,0.573643093760566,-0.500062818779308,-0.30671827737725,0.371271767266222,0.392255568475563
healthy,-0.244133263167271,-0.101900838250969,-0.361539024249941,-0.241772655013593,-0.100132330722473,-0.0858825753812157
healthy,0.249597214208825,0.407549770600079,-0.736218006409533,-0.428684109091813,0.470437835848751,0.529998859143416
healthy,-0.651511829676797,-0.675989432846326,0.496183588985532,-0.0148440464513752,-0.645130423886137,-0.333347698020355
moderate,-0.448833775824316,-0.646806659595652,0.326491835147991,0.278879999697826,-0.68404500733639,-0.611860269701379
moderate,-0.390739916128843,-0.473330818594873,0.0369079091495387,0.170250874620974,-0.429332493132201,-0.500768079138239
moderate,-0.100161450889839,-0.148434192062806,0.190049660055913,0.12329484516859,-0.401676596234827,-0.340807342465564
severe,-0.258772807898059,-0.326405656657005,0.494357738421319,0.617844175518614,-0.423427125795036,-0.276891555122533
severe,0.121904832560199,0.261256900181845,-0.585758067821808,-0.18509052401033,0.595778550322653,0.317848205678708
severe,-0.0883330336621085,0.157669313723297,-0.0564531380238479,0.0498883888363942,-0.381629634202747,-0.429441357572543
severe,0.195671683956765,0.301645723335564,0.0574242480010445,0.552726908070135,-0.0640893671631609,-0.10237586472575
