group,CD69,CD45RA,CD14,CD16,CD123,CD33,CD38
healthy,0.564348612727185,-0.0449041855846669,0.676300544534048,-0.416742921056875,-0.267906353409093,0.6172631803404,0.608662349596747
healthy,0.406354243235883,-0.254390655804594,0.427099901340411,-0.577042005482457,-0.595165222538469,0.341303028279858,0.34855669306421
healthy,0.574064164043932,-0.364576605423253,0.736350270770369,-0.662418887299866,-0.442379961309702,0.477556320146399,0.60603728430642
healthy,0.382766065248267,-0.544586937712929,0.606628273110768,-0.86430127037328,-0.350458204278064,0.563931733283685,0.490282600631785
healthy,0.552720461200975,-0.615707181125693,0.662053557197908,-0.815924071920873,-0.709059335181149,0.648421688350112,0.411184866506507
moderate,-0.260012851003728,-0.28312673766198,-0.5281735001278,0.169015877835635,-0.0868177331148713,-0.324684302708605,-0.329043698564948
moderate,-0.54885090846292,-0.0019682528789784,-0.573428001893285,0.153654623453943,0.0810843329603422,-0.432930410824271,-0.337178792351277
moderate,-0.393936027592983,-0.226533386669538,0.0891028406024728,-0.415841446434224,-0.185195385186502,-0.0376474036380336,-0.155046688264166
severe,-0.62561978105144,-0.0566635524661663,-0.705937193973554,0.38753235293512,0.113564307743426,-0.659104430094624,-0.492492108924207
severe,0.42315776481408,0.190449774580099,0.535688676800079,-0.23688299972256,-0.007194038190437,0.610492338839147,0.516649814394667
severe,-0.0143411542370781,0.124241208176503,0.359308668606018,0.136653121782573,0.112787631946095,-0.204060821654382,-0.300805251730623
severe,-0.201140054937954,-0.247602765380876,0.189441777243347,0.0691215461182984,0.35939935079159,-0.282376173043572,-0.36770855517786
