group,CD69,HLA,CD14,CD16,CD123,CD163,CD33,CD38
healthy,0.634640817662302,-0.0201452128121091,0.727714698840496,-0.343616146464786,-0.215545638749177,0.318248023567299,0.67069329365042,0.656056160642117
healthy,0.342307446070006,-0.286145138297512,0.423741490416301,-0.345196506513049,-0.356688678360094,0.274218606429523,0.293244740710856,0.2609736456617
healthy,0.607617985425942,-0.247737658486779,0.77942440875374,-0.54899789904617,-0.34309015352632,0.488164213790493,0.511630805556342,0.62365283680207
healthy,0.627381729410627,-0.427810275254566,0.640870642126977,-0.614342025292623,-0.381519713548428,0.487990990928961,0.730983070801697,0.686762328740363
healthy,0.625677245118218,-0.14781881823218,0.734719431042074,-0.568005960959478,-0.612337281750213,0.629331178696111,0.692436814979059,0.53851303931917
moderate,0.481827082788366,-0.440363358295968,0.861180523068724,-0.343908640385253,0.365997258009748,0.38381486940566,0.723677999765469,0.603553277791098
moderate,-0.390746090084998,0.428104841076276,-0.444363835500509,-0.0337275537123354,0.0605779513313049,0.129973710419823,-0.0964077685783753,0.0024951226770337
moderate,0.546373363659239,-0.667611107079426,0.539973507849625,-0.39397499855033,0.110182836653358,0.0500305011357248,0.617404099729522,0.576114233228564
severe,0.185689396434823,-0.0873753639953818,0.333208687170125,-0.481293541112555,-0.276153499293377,0.528669359186736,0.454780799359836,0.0706579917630957
severe,0.250805558388042,0.266219721918347,0.469870358866251,-0.410714310884166,-0.226168682276843,0.19927021095967,0.723016292972698,0.485939634743131
severe,0.455795712957221,-0.0117811522138095,0.477275781537475,0.140185342691306,0.0211704379523051,-0.102048976262591,0.165152338466318,0.0065837030667386
severe,-0.168878791721389,-0.123528419002013,-0.446211509335644,-0.123156127335326,-0.400673227333197,0.162949827173593,0.0758180164041549,0.277200132516329
