group,CD69,HLA,CD14,CD16,CD33,CD38
healthy,-0.577755592419073,-0.0731359154306517,-0.686879338615637,0.360991853606832,-0.623270779350153,-0.585545088764102
healthy,-0.575804137921047,0.505864483742317,-0.700527772757105,0.417017237638672,-0.414916003010973,-0.412062923336887
healthy,-0.751778161341537,0.594864407764292,-0.792241491143607,0.320161142994843,-0.50427220924994,-0.618928688126042
healthy,-0.621292404030071,0.432123978693249,-0.662016114671578,0.638859575297719,-0.707645834841304,-0.663260100828404
healthy,-0.112566336660347,-0.335203883870652,-0.198623532691267,-0.14012696919675,-0.196797248776388,-0.244793810343992
moderate,-0.584187692064668,0.434258819465868,-0.751769910789493,0.503685453505442,-0.650019749871138,-0.577740434995304
moderate,-0.554352469994223,0.569867234708805,-0.525382457461191,0.133224575481534,-0.554400909045969,-0.467148366073049
moderate,-0.396047310437993,0.537999428638257,-0.32978514647863,0.38920223451721,-0.585074438094722,-0.659725927223293
severe,-0.720386537495708,0.557419432324694,-0.746214570103883,0.256510497360671,-0.689520317797501,-0.641218440159888
severe,0.305696696959317,0.156385222103528,0.119924449733449,-0.294371050569197,0.306341796265758,0.243976177606417
severe,0.0192241401629771,-0.355739523761076,0.112954210703718,-0.277543334743995,0.261729281029872,-0.0276931768669893
severe,0.289426291290274,-0.693202157261172,0.0841436240722499,-0.288892084093535,0.32031996036653,0.390615877879738
