group,CD69,HLA,CD14,CD16,CD123,CD163,CD33,CD38
healthy,0.383726584179319,-0.142639413863387,0.476778565875855,-0.505203125913889,-0.354920937575177,0.140264902672066,0.402026924905823,0.444585658060585
healthy,0.368511101358026,-0.319045807403633,0.464269865829908,-0.342612515724689,-0.555140972887938,0.232183911938036,0.253591555053806,0.349598596764592
healthy,0.451617996688481,-0.352833987443655,0.603100360727585,-0.650167656973699,-0.423634231393922,0.384590200799253,0.3816791189636,0.532690739477579
healthy,0.138341672544308,0.075195252768798,0.386574017136511,-0.56955165149614,-0.232520999968036,0.556206662088067,0.452679005920869,0.452282126780288
healthy,0.167980086977094,0.0902209474996365,0.281072702549491,-0.238926648957835,-0.510272477734763,0.384236958142135,0.229673625599301,0.453256976610744
moderate,-0.468087112124261,0.632855606952153,-0.790816635203502,0.426790931610962,-0.156509613605714,-0.312427121787443,-0.659786916680057,-0.582787771172619
moderate,-0.674080269980513,0.519729858560042,-0.649739366881668,0.0511144772707845,-0.0707116634958285,-0.0793957688333775,-0.590123594987924,-0.452267508830639
moderate,-0.421196915587265,0.283869868892253,-0.236152517123181,-0.138393512819074,0.167744668104622,0.0655397541842192,-0.13763858328492,0.0317531715456082
severe,-0.0520612738714567,-0.527118608843622,-0.140324445665681,-0.563673156062876,-0.0995092642598937,-0.476507479871075,-0.0514996294400265,-0.127238315436137
severe,0.21256794273057,0.0302478797459873,0.257746179983761,-0.0810268065568946,-0.012105206062308,0.238053574078037,0.152796146989445,0.192052259701266
severe,-0.455487546244439,-0.0271797228042526,-0.490142334101043,-0.250019025427609,-0.108840052213721,-0.0198609209706893,-0.237406169966717,-0.046321868315955
severe,-0.585576615804731,0.454807375056932,-0.585322292152057,0.0506962772074305,-0.0546262027233554,0.264374399089254,-0.370763410045494,-0.226060704021415
