group,CD69,CD14,CD16,CD11c,CD163,CD33,CD38
healthy,0.631953790768807,0.730547333022251,-0.349537904571711,-0.0682995045346901,0.306312353985536,0.66265754377481,0.652182284020753
healthy,0.453358070750062,0.570383666911145,-0.464897100573585,-0.290666432070999,0.358568220676271,0.408167671115679,0.376340944665171
healthy,0.669779637616191,0.820178753134654,-0.587353784238331,-0.297880250366845,0.470383272814681,0.517149238728058,0.647319331689652
healthy,0.404136463781268,0.588958731359057,-0.757055111058873,-0.376586575826575,0.529054266042274,0.689399157250934,0.610976954147433
healthy,0.480927170658569,0.588424362965674,-0.417821809959123,-0.320538144165746,0.60186094747907,0.53373901056054,0.573839846487255
moderate,0.254965514841404,0.627591373911437,-0.487777471095691,-0.206070364822843,0.511476493149896,0.602790072146233,0.548375909197489
moderate,0.141872686595284,0.135602922459539,-0.384863247692919,-0.533343598061054,-0.0892313177608037,0.312790036378859,0.246298934031702
moderate,0.0601050819948516,0.17255009023353,-0.497691760722772,-0.4954799324243,0.148339381749418,0.445139309256015,0.532960720920837
severe,0.0336347885114774,0.0106965615001027,0.0183314440954795,-0.317126480057974,0.569441272392085,0.209247436987783,0.31473330600795
severe,0.270662820389411,0.542382578848337,-0.299845489200335,-0.169656307811823,0.251593522696137,0.70159339264331,0.492514798205228
severe,0.0197425078974756,-0.265064819131609,0.0034929790543357,-0.122618649806237,0.0564957422044276,0.183589030242724,0.361438059738337
severe,-0.107760818357241,-0.325819512687602,-0.117108469129623,-0.613362378107852,0.317937760490285,0.119752827753248,0.252668171791875
