group,HLA,CD11c,CD1c,CD123,CD33,FCER1A
healthy,-0.508256762180414,-0.745308569666556,-0.499951759764971,0.761386422537789,-0.665831535777252,-0.364861351533032
healthy,-0.672174784126645,-0.751183054898315,-0.606463044556093,0.512715052443282,-0.264058058616361,-0.361340719619292
healthy,-0.0905897740150636,0.280240609961677,0.0795165843775014,-0.555728883392268,0.143967183899145,0.134913172845622
healthy,-0.446216221338131,-0.794475640348022,-0.781143132973272,0.627685792231726,-0.765185097207728,-0.70324246140863
healthy,-0.178951616999315,-0.834672440707251,-0.752074330523793,0.69684889355936,-0.830866747564885,-0.563457408342829
moderate,-0.0369849634726833,-0.168620137489556,-0.0704914011581621,-0.209216664215685,-0.126236366658203,0.202791674211565
moderate,-0.68960130803324,-0.826098967443689,-0.444651587786106,0.658723685439143,-0.808452026761873,-0.324370194858209
moderate,-0.125447274147632,-0.358714912346263,-0.50903160019786,0.199563787456964,-0.632108786513002,-0.710424270663493
severe,0.348840515279453,0.775338799055095,0.636123628831153,-0.829106414408714,0.748510305510908,0.35733928453374
severe,0.388883591602303,0.688311326177301,0.3675641919587,-0.847508432218446,0.737888283136764,0.155445836784777
severe,0.74765808989517,0.587353546510363,0.165064946297947,-0.763361013747466,0.634645434719182,0.437036704427977
severe,0.24796730820812,0.579132848367473,0.113413861352172,-0.675713648224645,0.522052629350796,-0.154666447560885
