group,CD45RA,HLA,CD11c,CD123,CD163,CD33
healthy,-0.428432594864436,0.555129998528854,0.822933342924221,-0.718961268246862,0.412851485030417,0.744931170511966
healthy,-0.456436836273953,0.558243730761257,0.673825221442938,-0.818100680100803,0.329455744849639,0.294630970618678
healthy,-0.594321643296051,0.426809641859394,0.78653193561809,-0.783009727087092,0.410339343598358,0.524899048864018
healthy,-0.727025165606276,0.118063964022622,0.714119882288477,-0.828666332532813,0.55088675844335,0.77025377390616
healthy,-0.651588195563643,-0.013622222101814,0.758954836767739,-0.697981601789169,0.731198068012661,0.803591090365335
moderate,-0.460947452259115,0.244563776783032,0.842298595141617,-0.835147966220098,0.1264986343502,0.798709941504235
moderate,-0.48951882986815,0.434265666024815,0.783965359884106,-0.834297701978336,0.168377685407858,0.811929263661248
moderate,-0.573455029766692,0.269188126638263,0.6077060036859,-0.680100027625135,0.219441409133046,0.748352754505313
severe,-0.48920154061035,0.305876783135095,0.764029085665304,-0.814958739315495,0.387378631914831,0.787763917063516
severe,-0.604592171170341,0.476367518757945,0.771083043152236,-0.823851937342863,0.207943469948117,0.764161517086349
severe,-0.213668804115776,0.753306120791451,0.619078895304485,-0.738431614579192,0.278294097644618,0.66840085009048
severe,-0.513468718749568,0.323832275482669,0.80414941653114,-0.716663258687939,0.371778043607994,0.739632111278065
