group,CD11c,CD1c,CD123,CD163,CD33,FCER1A
healthy,-0.786897518366353,-0.602116565847106,0.587028967262506,-0.389511749235477,-0.686283524921178,-0.436190651018526
healthy,0.351309580954776,0.374329001779199,-0.182474892313152,-0.0830117619413215,-0.0356327177232035,-0.0456798856183419
healthy,-0.608138556112425,-0.313156988595944,0.461878264801965,-0.37661974118474,-0.508956135227461,-0.491581817493251
healthy,-0.739184374324129,-0.64933195659416,0.629323824452062,-0.521255718365572,-0.802653758156497,-0.713685945182104
healthy,-0.76006776303184,-0.608930515079201,0.722328957827475,-0.71794089728741,-0.794988733024567,-0.498824083247431
moderate,-0.856781444951453,-0.716226607526521,0.732218749641415,-0.316013738429672,-0.860698391822256,-0.426198185059249
moderate,-0.737565905840466,-0.415296545084769,0.541402162603774,-0.35719575703881,-0.782698364935239,-0.499985825639567
moderate,0.743828366790902,0.619779088939757,-0.701144748274728,0.0225566973055028,0.518146988783011,0.37972309087246
severe,-0.844508470512449,-0.642416562027514,0.777093062777431,-0.360949069427512,-0.807836767137481,-0.431268251459211
severe,-0.757491496155769,-0.269915842436502,0.810702278065972,-0.241152520889517,-0.759814842352042,-0.134667148102944
severe,-0.691601738866392,-0.33476195612687,0.640832202149153,-0.258610678904472,-0.709899834092998,-0.658353439120897
severe,-0.827923994039805,-0.494379900115801,0.682737307210744,-0.416620004545156,-0.770538276235161,0.0460096743761104
