group,CD95,CD45RA,HLA,CD11c,CD123,CD33
healthy,-0.2038705766735,0.427108280668876,-0.611918729943566,-0.828386467728433,0.727231918472293,-0.729736064088415
healthy,-0.0888295506118072,0.49030872667847,-0.646421642830038,-0.751629553506794,0.762314718176306,-0.276471517533309
healthy,-0.341809811406159,0.639480327624594,-0.476742369851064,-0.812287096124203,0.831648274047694,-0.48327333965388
healthy,-0.530644161311956,0.746285641084048,-0.150956892182213,-0.727605204964162,0.852399535045632,-0.766148373354846
healthy,-0.601862500636535,0.660734711324805,-0.0658803657373125,-0.782588289343895,0.775578102116474,-0.784488499311223
moderate,-0.482341146004713,0.469820521166016,-0.34468856644679,-0.840976837397662,0.829596143157357,-0.790869594407332
moderate,-0.453889671641273,0.470425229229478,-0.512933195754907,-0.808132188448125,0.819675546412284,-0.821077125673417
moderate,-0.352334160019557,0.616375454022017,-0.27981268563157,-0.66482776266057,0.774472264450001,-0.605419330610861
severe,-0.371210742216463,0.462907595325843,-0.383109213189864,-0.801636288188246,0.803739046684035,-0.812040777476902
severe,-0.0158673557213619,0.593274079504356,-0.446299946147814,-0.774106961300563,0.802870495702529,-0.762583835145748
severe,-0.464688076243742,0.177758537265909,-0.774920700567602,-0.658300987478041,0.748642348879051,-0.67069120137577
severe,-0.650326412437434,0.514582571088114,-0.287268343895293,-0.808863283543948,0.725380588727449,-0.753513395693542
