group,CD45RA,CD11c,CD1c,CD123,CD163,CD33
healthy,-0.413263896045845,0.827156734493484,0.591462460155721,-0.690324888912269,0.426532649520564,0.730190348405492
healthy,0.492457678542128,-0.485839830037417,-0.201594164184637,0.760237683963682,-0.328281666728589,-0.248454612336106
healthy,0.195497911543619,0.0907890868792779,0.114046489120457,0.28057896357193,-0.310693694837081,-0.0555432136570063
healthy,0.518973278308265,-0.363405088360358,-0.360240070332416,0.668505725955936,-0.394091426395499,-0.472213035938178
healthy,0.158196001323509,-0.450192693081092,-0.519855057938051,0.176010642807614,-0.69667638172424,-0.541344059366034
moderate,-0.453419472778866,0.811163857172891,0.747514598112867,-0.616625496748536,0.28402845026139,0.791999327418413
moderate,-0.254020557095163,0.297978283521728,0.126840415628722,-0.258609513619739,-0.379564095379203,0.157576378576151
moderate,0.655845246949598,-0.497904950794092,-0.395015702485686,0.856490551786602,0.0001703103725764,-0.518027627113066
severe,-0.356224889013599,0.493008825524684,0.288077577841652,-0.701593821559054,0.198686646576644,0.51173217338495
severe,0.559384203321,-0.637210326404785,-0.392512498599632,0.818002272738069,-0.264237647563345,-0.712371692566855
severe,0.384582116535871,-0.236201740679528,0.0627780845609888,0.776939117869619,0.132004312381979,-0.348242459711007
severe,0.509114716744655,-0.781481793160612,-0.418403345357241,0.753739472215066,-0.382207641315037,-0.743717054694396
