group,HLA,CD11c,CD123,CD33,HLA,CD11c,CD123,CD33
healthy,-0.551079528200955,-0.786655853300203,0.704088234722377,-0.721614690313686,0.679006834852663,0.755521433062589,-0.731901399323234,0.582839882652404
healthy,-0.636681448446534,-0.741852198296525,0.713058932275197,-0.291504583290129,-0.612276049241231,-0.723679637900581,0.797989883476677,-0.289160607708741
healthy,-0.586157711045549,-0.851694870345967,0.785705778592977,-0.515976479979532,-0.537080922387943,-0.827861800659709,0.749994921525712,-0.546791343261431
healthy,-0.274757746702117,-0.774799801112136,0.830638184725481,-0.785302858837938,-0.1606705990212,-0.731544479359478,0.845202726411547,-0.769502411702508
healthy,-0.0704687650092931,-0.773247652004682,0.754576524296268,-0.801458739835978,0.0036107435905344,-0.737917576216323,0.797284650978139,-0.763237775813354
moderate,-0.366981182597959,-0.877771409808454,0.707614336230977,-0.818288214586271,-0.26406699263565,-0.841281858415498,0.83751116585373,-0.805002554375957
moderate,-0.542573506229761,-0.82402730496301,0.80155627148502,-0.828377082878842,-0.526621060810418,-0.815119436864958,0.800004317780595,-0.830670316531944
moderate,-0.22732342037729,-0.700667553081158,0.749941588432073,-0.44340824397467,-0.179305069246354,-0.619560243382582,0.747466224034874,-0.711874709154698
severe,-0.457151142762085,-0.808433080171381,0.681563597302451,-0.820033879868611,-0.428168646653065,-0.796735916803808,0.664199515037532,-0.836553510226952
severe,-0.529215017968368,-0.799134709379264,0.800276016359907,-0.789629811270321,-0.398326965129402,-0.746714766584606,0.834664953733542,-0.750123367574071
severe,-0.76970713358642,-0.663516113307212,0.732131374266513,-0.66076634580618,-0.779591187654911,-0.638201023344778,0.73615049308667,-0.713280828847474
severe,-0.279558597824252,-0.823169331923806,0.706236863786441,-0.773988836547106,-0.292451598351577,-0.817534429801068,0.718368186257558,-0.762589932773717
