group,CD95,HLA,CD11c,CD1c,CD123,CD33
healthy,-0.259248327130424,-0.653770095407522,-0.832728967704259,-0.556599096040578,0.692664083030016,-0.738640869988704
healthy,-0.104945424992384,-0.570016833507484,-0.684158620961278,-0.40441906917668,0.759061763485671,-0.294986886838763
healthy,-0.372621462018512,-0.608115061068053,-0.85216593431127,-0.71791547018803,0.764187038708737,-0.529185610598224
healthy,-0.614035220076703,-0.0700567798596213,-0.633120760655584,-0.480234635550428,0.712437793851516,-0.725142292028124
healthy,0.460143523905043,-0.0015476514245508,0.551955985911545,0.537811841671268,-0.351270504181183,0.580740862725185
moderate,-0.51863895347867,-0.364316006604202,-0.578941188927191,-0.496961547185077,0.383177555906671,-0.668101508093148
moderate,-0.557035585197592,-0.617297406535763,-0.822291318947233,-0.447142992130022,0.678581915342573,-0.85725967366142
moderate,0.334629135689945,0.241297746357838,0.706328945517704,0.700445052331213,-0.6492977749677,0.682995712619517
severe,-0.376316725869766,-0.374963861747703,-0.583388599450392,-0.321645703360777,0.497397130778727,-0.634095945324468
severe,0.0002758129317619,-0.40730380061172,-0.75110588176808,-0.327908157033005,0.824254806806003,-0.743989726560105
severe,-0.509435816919065,-0.754555204547359,-0.70675819830742,-0.264136610995758,0.698403363627084,-0.712680974939421
severe,-0.659034464025081,-0.239040263343469,-0.819249179197925,-0.492651677993,0.700173320712534,-0.780724457784902
