group,CD95,HLA,CD11c,CD123,CD163,CD33,FCER1A
healthy,-0.200772443166083,-0.666800850803989,-0.820698874964187,0.689183594349477,-0.397590334848149,-0.719987484692178,-0.439097312932898
healthy,-0.115737183849326,-0.632771488581933,-0.726424114067257,0.666398059748322,-0.270485598454828,-0.287964485767975,-0.333562143024922
healthy,-0.363084249377321,-0.561498858620204,-0.842912366717718,0.791392281905193,-0.307039889050503,-0.516779888621155,-0.59834993766184
healthy,-0.600465029045928,-0.239404686775645,-0.740526676057244,0.696132521220154,-0.563065619976288,-0.81260863301183,-0.715317126116727
healthy,-0.706792981606346,-0.0403229656108126,-0.733257634683718,0.736002723758898,-0.703513526512481,-0.786792947859501,-0.474798507357759
moderate,-0.566313854982746,-0.455349835780782,-0.842196921469005,0.66071217316733,-0.220046515512833,-0.835945941549468,-0.265223887795953
moderate,-0.406508977942005,-0.503898717890754,-0.439797468483246,0.122829472274252,-0.368935965493855,-0.469611853150088,-0.409876378244657
moderate,-0.393331759040135,-0.350901028226712,-0.732542876993149,0.643761074564788,-0.147189142352534,-0.673347621803373,-0.543913646738571
severe,-0.200009287957362,-0.25050808601409,-0.118322426486997,-0.0948188372996472,-0.217504052770196,-0.0898359486985789,-0.165146701997832
severe,-0.13065420820463,-0.0972812260960215,-0.351401807374933,0.277705978331695,-0.363090997258814,-0.348490622124174,-0.0918704531339312
severe,-0.48829128011644,-0.766448654223181,-0.692633899186749,0.710189158005113,-0.283637518798453,-0.715680244479682,-0.520988178795903
severe,-0.662009024869649,-0.45235562327775,-0.788570787877209,0.563623570555458,-0.419185566345235,-0.743915246405145,-0.0290107821569652
