group,CD95,CD11c,CD1c,CD123,CD33,FCER1A
healthy,0.40269730847764,0.667854915965245,0.469177117735674,-0.412843194641118,0.72031979323911,0.727213135533431
healthy,0.0652934790185544,0.506469085149306,0.196216861280839,-0.764442495361917,0.267568085940759,0.174163325342675
healthy,0.371155736537602,0.844380446547555,0.65147339067663,-0.785978578964067,0.521094651812486,0.600356521843213
healthy,0.576707215135916,0.691636465754822,0.48465363564794,-0.699136822385198,0.767877716312543,0.60495650325348
healthy,-0.0027834574746083,0.0764393786217271,-0.0013741530511943,0.285122668784815,0.0730063844891786,0.343400018676639
moderate,0.438874521554649,0.770336229081824,0.498320417568849,-0.812386622380387,0.74738617081082,0.512963591230023
moderate,0.544815038561473,0.840589885142687,0.425627197969546,-0.730305824210432,0.865922373120525,0.417320315087878
moderate,0.3875922883887,0.570405334085032,0.516226797084408,-0.747288689885826,0.702255526242993,0.601990429808321
severe,0.327406731949017,0.770302520382945,0.667078087904108,-0.797869932566604,0.729879817631238,0.337996973634925
severe,-0.0147478797042106,0.551350352597517,0.0548636969569804,-0.722715587316186,0.576900330014311,0.0673416215683897
severe,-0.175002458343175,-0.17340293381993,-0.126428086963102,-0.196230760773361,-0.297636602740788,-0.397913687246808
severe,0.652477685182313,0.816149599646787,0.494083554388353,-0.725051013777853,0.76701688989642,-0.0322119237541962
