group,CD95,CD45RA,HLA,CD11c,CD1c,CD123,CD33
healthy,-0.213500926323001,0.425251970870566,-0.623890767879485,-0.831354982551109,-0.615269063208644,0.732399063518289,-0.722341803826881
healthy,-0.0792434803733186,0.437979963310034,-0.611032651941201,-0.719366055308153,-0.428083297563434,0.786031973101278,-0.272318950543221
healthy,-0.342613339743866,0.630750893502915,-0.520384364612999,-0.82983176411063,-0.677978779540797,0.816296079490301,-0.485914682665489
healthy,-0.486695878545906,0.761634773217303,-0.234523790272667,-0.760065110925722,-0.679169881644782,0.877326602050075,-0.744394066228465
healthy,-0.650971019609748,0.682772347766439,-0.0375679958176922,-0.777450999509243,-0.6344292686881,0.797809561726519,-0.785914536909721
moderate,-0.427361310746503,0.539866900804312,-0.239301183507224,-0.798465945171131,-0.584925756694571,0.861335384169811,-0.753690081012653
moderate,-0.332349085159603,0.0257408482780042,-0.0902393679233411,-0.304073709926376,-0.0432209986811312,0.165802430358899,-0.416038980590787
moderate,-0.370139685464146,0.607979690022759,-0.305198626772348,-0.666242644581265,-0.650234053423045,0.720835790487232,-0.707416985955035
severe,0.477669068732471,-0.242819131843561,0.586152504074511,0.747017547620895,0.658320489270271,-0.631015523236234,0.729912085880685
severe,0.0292848436370739,0.619275100899187,-0.414044470982852,-0.733654013731196,-0.334391168842736,0.849506664755621,-0.726635225213505
severe,-0.424584484478556,0.186124923188571,-0.778939491782264,-0.624619966497979,-0.203919785093073,0.774440746711143,-0.675544564813647
severe,-0.652623849128472,0.506563302995491,-0.347148965629111,-0.823829820398449,-0.475130735047984,0.686186796730605,-0.767182477401989
