group,CD45RA,HLA,CD11c,CD1c,CD123,CD33
healthy,0.451060007079737,-0.520928771481324,-0.79618725569222,-0.607446784674985,0.751345501466093,-0.717211206974536
healthy,0.477878272313592,-0.662058130884791,-0.765002092921136,-0.507488385731915,0.752092491691446,-0.267639778465004
healthy,0.607844099156013,-0.574975594369515,-0.845810997912561,-0.700915824081439,0.791157061829667,-0.516589767780959
healthy,0.758795119976115,-0.197661364085375,-0.747186486215005,-0.664750275181786,0.863447997734863,-0.760490058940882
healthy,0.697005130085336,-0.0573269621118216,-0.775164502876783,-0.655231098805657,0.792939199761224,-0.792579996660994
moderate,0.500531512529135,-0.204416740097417,-0.8069952365958,-0.566875428430136,0.875593732198562,-0.729592875886293
moderate,0.521305388462985,-0.462191423113861,-0.782501970711629,-0.357505863177955,0.855670105791103,-0.785803459444043
moderate,0.605949705675667,-0.0330919435838046,-0.413653355452096,-0.347998611363023,0.763982034538683,-0.486789838826917
severe,0.470164937826799,-0.0415826755350865,-0.550411666853537,-0.384395147350356,0.795036567130603,-0.574043590865209
severe,0.557870831177895,-0.455244606592561,-0.757700596878792,-0.2374201489126,0.800952837057983,-0.761054449591085
severe,0.212038988676297,-0.708664953515078,-0.609680803966501,-0.152313147871496,0.656202616015431,-0.571115452639112
severe,0.546624498593849,-0.128095895332235,-0.767091444448694,-0.410551202102269,0.772525662472673,-0.724819844625465
