group,CD95,CD45RA,HLA,CD11c,CD1c,CD123,CD33,FCER1A
healthy,-0.196123586919119,0.426831292410139,-0.672050923268072,-0.804885617624344,-0.616073222684067,0.738170474038995,-0.677751686157869,-0.465333844440637
healthy,-0.149771376743878,0.341025566295205,-0.632064554777893,-0.679647868055677,-0.554963691768957,0.393579923080175,-0.235826489136661,-0.379967493570088
healthy,-0.350922077958525,0.619232094498298,-0.526795538917006,-0.827969831215569,-0.726053291064299,0.813155681707752,-0.504333767886044,-0.558941798903919
healthy,-0.499922629402642,0.750535250167641,-0.346002083383337,-0.800470139946846,-0.780094481307065,0.823671855553597,-0.770366762377376,-0.68823184648723
healthy,-0.507142141694493,0.572035892592962,-0.161179227169671,-0.714948086974186,-0.593155175376322,0.716537413649652,-0.651654553803239,-0.23684369608282
moderate,-0.456717162541066,0.494744237012787,-0.360849019188595,-0.83704545539,-0.622623085924374,0.826509284305772,-0.787141475470764,-0.232335085925828
moderate,-0.479916403276084,0.109362487983719,-0.565240639536435,-0.605599003139957,-0.311924419659752,0.390011862358582,-0.669033782447025,-0.450325000417915
moderate,-0.303332309407716,0.618078457894084,-0.260464312172858,-0.704750742246251,-0.611031654424801,0.761760601544854,-0.597156643344044,-0.460848681398423
severe,-0.387252757188261,0.464252319723301,-0.43274562636848,-0.822906920793144,-0.681103344079473,0.798311859822865,-0.779137728751247,-0.409471455794329
severe,-0.212083920234809,0.430956867304548,-0.330550248486019,-0.682070473828628,-0.375240594002064,0.614939948536962,-0.664590468080111,-0.151872739273261
severe,-0.383934522253354,0.187809065809366,-0.525158257375339,-0.617612141165031,-0.153730014363324,0.671681654714686,-0.603071306286254,-0.62542489966008
severe,-0.673682412507493,0.483742886246087,-0.339366250066858,-0.827407560863386,-0.492761213431858,0.679116912305028,-0.775548132659879,0.0490853662321652
