group,CD95,CD45RA,HLA,CD11c,CD1c,CD123,CD33,FCER1A
healthy,-0.228218464471224,0.417150638966942,-0.632908105186905,-0.831874950371798,-0.593130644951552,0.718618333941552,-0.734600871571187,-0.456140333703957
healthy,-0.0916409968574626,0.480959671719498,-0.65425239987045,-0.758499394887947,-0.485277479574499,0.75970220050465,-0.277475099551221,-0.337225193477556
healthy,-0.358929790168136,0.62006042681578,-0.51179542061093,-0.829108319516601,-0.653874094132529,0.813130721978885,-0.507255409823362,-0.590850033065228
healthy,-0.534565326380169,0.741727149347612,-0.21186437871506,-0.75322151440595,-0.669082658312386,0.8342705185218,-0.784200668020392,-0.676800118590425
healthy,-0.550720226157213,0.640746103455746,-0.0224275380708306,-0.769450024541753,-0.592577054987117,0.773408181816148,-0.742843958239051,-0.278655668755022
moderate,-0.497019071901994,0.511100072309966,-0.320171205927952,-0.855776005300068,-0.620845230505606,0.817282629276858,-0.807431480349781,-0.33805393564856
moderate,-0.466624075719231,0.446881034048753,-0.525805679608421,-0.816955866535871,-0.384985669325083,0.804464850963039,-0.828988324240356,-0.315549259081962
moderate,0.193873974127576,-0.554795530571334,0.326042950817235,0.36940383633473,0.576565757680855,-0.565925498003566,0.471786636422754,0.4927446817189
severe,-0.366250602877388,0.484770146853766,-0.360149824888671,-0.79462792624672,-0.62725535190487,0.819105594882491,-0.787986653652617,-0.381102809295063
severe,-0.0075929677685044,0.582229682800421,-0.463336628541676,-0.759019539900934,-0.302685693176239,0.805561663716305,-0.744842962711654,-0.112536476578915
severe,-0.439336486898992,0.188678300710422,-0.772476841045173,-0.631301846466605,-0.22321096732796,0.776287368871756,-0.648496606777841,-0.433722115472351
severe,-0.654354793070863,0.502489931745333,-0.31513222603014,-0.816498974507034,-0.451363072599276,0.71553401994671,-0.756620422238197,0.05780449831348
