group,CD45RA,HLA,CD11c,CD1c,CD123,CD33,FCER1A
healthy,0.408433410452734,-0.639158444486679,-0.799559934504838,-0.489968410572324,0.70408119501523,-0.692450412975,-0.519204783119758
healthy,0.404159909878808,-0.653349087085389,-0.745385196434611,-0.470404308328436,0.73435579264738,-0.269015201709084,-0.329258954549186
healthy,0.594123584757768,-0.593447455792128,-0.850592139656616,-0.728221689007267,0.771624159587833,-0.522924195736845,-0.601638981712438
healthy,0.737961372144085,-0.0357366102759642,-0.670855341754284,-0.539799076004544,0.874046032015552,-0.691656170253289,-0.569095494289967
healthy,-0.469024571126874,0.355818412298081,0.770529420223902,0.87630423117924,-0.421203365423552,0.76518421192254,0.667417102413812
moderate,-0.0548660846803763,-0.25142999290254,-0.137575776118706,-0.148230111029774,-0.169822465538311,-0.153948717420023,0.466037713097803
moderate,0.534408245416109,-0.544231148270201,-0.777406336959824,-0.305634235556143,0.816159895393512,-0.780392111328464,-0.214775226693741
moderate,0.577368689080468,-0.300436975810245,-0.473948459149721,-0.195780403625618,0.774285550182817,-0.357872086020449,-0.205589275148272
severe,0.460797842968991,-0.423814850708771,-0.82770564723131,-0.649336386223985,0.791744409167889,-0.782823733741142,-0.415871107173919
severe,0.569527016620531,-0.359604307412662,-0.691463921693642,-0.222809181998131,0.746210934406514,-0.633906164214972,-0.168659859563852
severe,-0.347422324515736,0.677383551627984,0.396349563016982,0.152694611926988,-0.810395566426605,0.605088996704248,0.286032725613437
severe,0.532198929044345,-0.0472673632622937,-0.703913413284684,-0.457873046924133,0.749487480016787,-0.665642452191793,0.134859806570756
