group,CD95,CD45RA,HLA,CD11c,CD123,CD33
healthy,0.214227688108357,-0.420111453813578,0.679006834852663,0.755521433062589,-0.731901399323234,0.582839882652404
healthy,-0.0902238878570632,0.474301335098917,-0.612276049241231,-0.723679637900581,0.797989883476677,-0.289160607708741
healthy,-0.400112267197634,0.581627886102655,-0.537080922387943,-0.827861800659709,0.749994921525712,-0.546791343261431
healthy,-0.533387614751725,0.735819956923133,-0.1606705990212,-0.731544479359478,0.845202726411547,-0.769502411702508
healthy,-0.696970594527296,0.633932060209473,0.0036107435905344,-0.737917576216323,0.797284650978139,-0.763237775813354
moderate,-0.476079774215455,0.523036328062433,-0.26406699263565,-0.841281858415498,0.83751116585373,-0.805002554375957
moderate,-0.470229128712073,0.450048628865257,-0.526621060810418,-0.815119436864958,0.800004317780595,-0.830670316531944
moderate,-0.39028852295236,0.611328169105096,-0.179305069246354,-0.619560243382582,0.747466224034874,-0.711874709154698
severe,-0.444554673064,0.380834573415497,-0.428168646653065,-0.796735916803808,0.664199515037532,-0.836553510226952
severe,-0.0383379975149062,0.586109711380083,-0.398326965129402,-0.746714766584606,0.834664953733542,-0.750123367574071
severe,-0.446931036293217,0.209594265517077,-0.779591187654911,-0.638201023344778,0.73615049308667,-0.713280828847474
severe,-0.658229493259016,0.50922603815878,-0.292451598351577,-0.817534429801068,0.718368186257558,-0.762589932773717
