group,CD45RA,HLA,CD11c,CD123,CD163,CD33
healthy,0.416596949781686,-0.609796268555961,-0.829870365946747,0.703838971622371,-0.40831883359384,-0.734658770552775
healthy,0.448122354538873,-0.651873075826258,-0.749964851766795,0.751733923101901,-0.19907659556342,-0.262502187521857
healthy,0.627120212209392,-0.50218735327953,-0.822212046931921,0.820837641580776,-0.31027847698554,-0.495172997408337
healthy,0.765659718935349,-0.163931843973256,-0.728925546616829,0.894906656495187,-0.434369117920709,-0.714244855796964
healthy,0.660612962815217,0.119883229182639,-0.636281815219988,0.690055189202317,-0.70258138941692,-0.680158194246963
moderate,0.422075498156145,-0.155585295194857,-0.749425343747966,0.846534291727594,-0.231370852268436,-0.701586794541592
moderate,0.50435465449605,-0.477785305785726,-0.790154360843992,0.841142118930082,-0.122570919639105,-0.80339531277821
moderate,0.64383435074643,-0.263375409948011,-0.625451622117055,0.764796108743607,-0.12034944302415,-0.68720740779376
severe,0.49660594895643,-0.319853167349323,-0.773084908027375,0.823518864552226,-0.284943810085797,-0.741572917439594
severe,0.56925332165848,-0.408864289933915,-0.755931283068601,0.804320825769833,-0.286968114469838,-0.75979874355673
severe,0.211387062500505,-0.745757310266614,-0.64243831308098,0.740115299490339,-0.270878737676031,-0.679198220435419
severe,0.529147927851717,-0.263912297314885,-0.78906852559316,0.735351320293019,-0.391772214981825,-0.736135100988671
