group,CD95,CD45RA,CD11c,CD1c,CD123,CD33
healthy,0.190695265337474,-0.449630098293839,0.789903963972301,0.579564123464962,-0.749459003618154,0.711217872195548
healthy,0.0851675048370359,-0.445897059259481,0.713365564510753,0.405264403089686,-0.796195449819276,0.288272786953128
healthy,0.344357943335895,-0.640833092915104,0.795303269249548,0.567483812502911,-0.825120780513304,0.48223406815973
healthy,0.521107542063853,-0.73297401572769,0.71217237540445,0.56419933662847,-0.85473514845349,0.745103920325297
healthy,0.725044897870706,-0.520421346143959,0.72332015298574,0.585241448904249,-0.581608628587111,0.777268880470473
moderate,0.462524811736899,-0.517158626366142,0.823330806662121,0.668179215540323,-0.824666214735045,0.799173132038778
moderate,0.453802161858944,-0.465552643418534,0.812698514516196,0.382380050222449,-0.818933621722892,0.821456813059429
moderate,0.34030581262148,-0.654125606410471,0.550948027091938,0.401618000590723,-0.827961234141694,0.529395116568004
severe,0.212000613203754,-0.327441961387142,0.414984337441707,0.169802807865588,-0.704231950050666,0.545349121434648
severe,0.0231682862680009,-0.599359767484075,0.782905276338512,0.3306336022963,-0.799502506990679,0.766576336383185
severe,-0.288592876980534,0.100070667984048,-0.500108837326526,-0.390237728768438,0.269118023701081,-0.485718069001869
severe,0.636733485061191,-0.524703004739271,0.789786455512048,0.425390264925828,-0.743144328601394,0.736329591681536
