group,CD95,CD45RA,HLA,CD11c,CD1c,CD123,CD163,CD33
healthy,0.0305471787866991,-0.289893354337545,0.571108417500705,0.380170327009543,0.199787435084318,-0.377552137040092,-0.0356010006148011,0.249160293583596
healthy,-0.0661676353043907,0.40331203880061,-0.500561793434102,-0.614465137179865,-0.275509090419386,0.819573357784554,-0.284013269781133,-0.265906945823207
healthy,-0.322841277255541,0.655984421998156,-0.395843144578662,-0.763646323449321,-0.557718872520308,0.83318326752707,-0.320713283891432,-0.452211210024685
healthy,-0.524555512394337,0.718070843650023,-0.0286583605368419,-0.679631634871269,-0.555752155651259,0.839593117992752,-0.550919930910785,-0.736128885577689
healthy,-0.734591481251915,0.616851715527429,-0.0911657421425518,-0.799965860309175,-0.670768621066761,0.711949953995137,-0.678077241086681,-0.826288489349763
moderate,-0.427633544302558,0.503244297927423,-0.164924704291623,-0.787281841183816,-0.554022779383628,0.898309847337151,-0.174533358662581,-0.731490827344909
moderate,-0.340086388967277,0.577727716462539,-0.265332275492294,-0.668951028091319,-0.236579750998721,0.865364680056962,-0.0732317205550723,-0.693938051902168
moderate,-0.338781311987473,0.652331334093877,-0.258471576085072,-0.588656611579333,-0.617217274713555,0.74710835502277,-0.0839558459975464,-0.678425155341235
severe,-0.415229650785817,0.424745293557422,-0.38665903383589,-0.810768344260021,-0.66462715000678,0.778175298606799,-0.414163120893249,-0.827455006121896
severe,-0.0178953919843172,0.486388146971671,-0.314494904738073,-0.581171332634736,-0.215552079226044,0.623094026470916,-0.28482403496731,-0.532676939291573
severe,-0.499819696822781,0.19682737790782,-0.688570997441771,-0.642981555354852,-0.239886396039473,0.74636122738653,-0.271696608260802,-0.625920286965696
severe,-0.638530776986983,0.510509860042052,-0.373856382552511,-0.795071652271407,-0.416864468758071,0.704644204286091,-0.354402979559891,-0.729896242267582
