group,CD45RA,HLA,CD11c,CD1c,CD123,CD33,FCER1A
healthy,0.428870920163921,-0.287748835835723,-0.659936433925551,-0.487877567154568,0.701894144772356,-0.603799457657251,-0.345431598141201
healthy,0.461522806854416,-0.616184695090143,-0.72413366918621,-0.435912605572951,0.792180412081688,-0.269169692266211,-0.309071678708181
healthy,0.609091551864611,-0.52600771419798,-0.825674490525792,-0.664355560970292,0.810406657931377,-0.510723651310133,-0.595855062309012
healthy,0.754571750001629,-0.19182542105902,-0.745487166215138,-0.660936636251786,0.85732716158585,-0.758189802744862,-0.661562048681914
healthy,0.656950332913284,-0.021997975223979,-0.702786255843058,-0.485637956375817,0.829264700949824,-0.696222506637858,-0.229606565036937
moderate,0.526856834165022,-0.318296548237428,-0.823669718904161,-0.600779244505242,0.843345668298484,-0.795591878393651,-0.402893473905917
moderate,0.526394938653798,-0.406878217165817,-0.763469242858846,-0.319548946011873,0.855242464071613,-0.785633793777309,-0.267208643741212
moderate,0.653842005656098,-0.238533804000271,-0.660417775397814,-0.570419643239557,0.82113573850954,-0.553393028980439,-0.399872940256395
severe,0.514318102439618,-0.257381404121362,-0.68561800416308,-0.532003382700185,0.873614720688686,-0.703898165632039,-0.216705731789486
severe,0.614107096027521,-0.412821819555153,-0.727091467962487,-0.269141751474146,0.839612190740901,-0.731851234894672,-0.0771274021404692
severe,0.222850097758178,-0.696771503839256,-0.57132789943114,-0.127572479129579,0.731696874934604,-0.625320433057644,-0.399761163058141
severe,0.528386492460053,-0.253324547369552,-0.794347927530948,-0.451370523311864,0.743895544259244,-0.74643809591542,0.056655075539839
