group,CD95,CD45RA,HLA,CD11c,CD1c,CD123,CD163,CD33
healthy,-0.142903946007891,0.438603437072577,-0.271130332257028,-0.634998093341772,-0.514912608588242,0.700369832673763,-0.285577051257116,-0.592957837437384
healthy,-0.0649111228658985,0.397427349570025,-0.613985450923279,-0.702698629994305,-0.444510622960252,0.726997316127111,-0.194296419404168,-0.238655554135235
healthy,-0.307995297676513,0.660622452514843,-0.438699544538995,-0.772557665157941,-0.634495230655798,0.841885625799798,-0.26431961881575,-0.437059866221932
healthy,-0.473375840351663,0.769553652506524,-0.164835819400161,-0.725331046794038,-0.629461633473347,0.89395378888397,-0.436979887164589,-0.714757317240698
healthy,-0.699841547149383,0.520452679331137,0.0310353233240476,-0.583425535490139,-0.453584482847186,0.524452297405216,-0.757741942059181,-0.70514911583893
moderate,-0.423969734360655,0.541584998223228,-0.253530512965417,-0.806735403876903,-0.588096454256705,0.889727701299227,-0.144172323409095,-0.733806780017625
moderate,-0.448499710788185,0.47529195270699,-0.467801628673382,-0.803640377601771,-0.398351190983603,0.836954487158287,-0.103738091765251,-0.809331986037975
moderate,-0.292372857589083,0.644819334726121,-0.234634729303241,-0.679523420909685,-0.612864787960714,0.784492596788905,-0.0726123649241757,-0.594518097679144
severe,-0.39456216476378,0.413091967328612,-0.312239233019471,-0.798138674166259,-0.658565297069584,0.808482189609737,-0.332672399583771,-0.7870300285584
severe,-0.130329722402557,-0.566838366110973,0.654922889758399,0.677035971805084,0.382723473304838,-0.671937920182015,-0.0673692348951998,0.694228350249955
severe,-0.120310775295558,-0.286956171711042,-0.246721195786574,-0.203878825384147,0.0064303940782957,0.111068891719215,-0.18162179452473,-0.0510421143578926
severe,-0.270830770972688,0.571492571359741,0.0166513034144178,-0.397315452156044,-0.177008272814571,0.636874486003794,-0.118462767098069,-0.37525690991592
