group,CD45RA,CD11c,CD1c,CD123,CD163,CD33
healthy,-0.419501016515147,0.798486378396468,0.62867973202668,-0.747547363958976,0.283397894681113,0.677623101570967
healthy,0.450602954055006,-0.593801105655406,-0.299092791787201,0.738665337967824,-0.387600270925414,-0.305295745213434
healthy,0.545070311479581,-0.795105367896332,-0.581033594701733,0.679750859757415,-0.323556021389716,-0.551505826258204
healthy,0.720090416657391,-0.781516587006349,-0.689361863889455,0.802818460980373,-0.458671707056179,-0.790761201072923
healthy,0.586357182494091,-0.773294074517283,-0.636869886143272,0.645223878075182,-0.75556315734748,-0.811584890149781
moderate,-0.507878639649499,0.829815327559816,0.669764564321391,-0.823399811103626,0.220057873924825,0.775267981524302
moderate,0.269969025521668,-0.828911757429482,-0.466719763928317,0.620887946820565,-0.238997001922662,-0.834927783344591
moderate,0.20268047224068,-0.195956717226037,-0.331403200269491,0.10529315431249,0.000372096221146,-0.351235079831258
severe,0.407185346084819,-0.840225677832464,-0.715031245546654,0.724001477245361,-0.439018287904311,-0.828098086632994
severe,0.333891753998394,-0.38185008958122,-0.486548423630835,0.398727965058964,0.125372227753043,-0.433653249325952
severe,0.282229706936551,-0.6164713323899,-0.1763453833675,0.683739011175158,-0.216463081435959,-0.650786958063131
severe,-0.235599069568903,-0.0720632773496784,-0.115604846901724,-0.283501126478621,-0.0736332496057239,-0.0887374332992328
