group,CD95,CD45RA,CD11c,CD1c,CD123,CD33
healthy,-0.314209633148425,0.344720507964929,-0.771328512282429,-0.465313036476802,0.568604616983532,-0.724661929518363
healthy,-0.0261534345858044,0.386913407980775,-0.528062722037999,-0.195005706146829,0.764295577682784,-0.190863111036958
healthy,-0.362663851286861,0.607377498219715,-0.795255234857858,-0.601668601256478,0.8224244561303,-0.494432896940896
healthy,0.43875681623345,-0.633116861300252,0.817153685787882,0.753948606110823,-0.662103931976403,0.692268526128233
healthy,-0.442197695893212,0.400373211158088,-0.6573832463679,-0.541036885275898,0.360172469901056,-0.632992931404929
moderate,-0.156386834888577,0.269164827872641,-0.240526018175675,0.0803658592802372,0.509252560284603,-0.259364104684002
moderate,-0.467756724555229,0.447723604209173,-0.801498456806355,-0.353746083104883,0.807165380149706,-0.826606949563577
moderate,0.299031173318067,-0.662397139596821,0.65260243696426,0.56150080933918,-0.766183084558343,0.588380141388639
severe,-0.403783594164129,0.465782090077343,-0.835126013828651,-0.675549410127767,0.801899588796558,-0.778944975933755
severe,0.104581774008077,0.611354046703362,-0.732447663406066,-0.434506933307444,0.78066433089425,-0.71283855763091
severe,-0.362079703852707,0.3795840158548,-0.480389142784974,-0.1313871196845,0.600478076698113,-0.649096460685893
severe,-0.668713532677452,0.483194333665442,-0.815924229561457,-0.475797302587728,0.675594403976222,-0.747406958511197
