group,CD11c,CD123,CD33,FCER1A,CD45RA,CD11c,CD123,CD33
healthy,0.650523852585677,-0.767541712599254,0.576284942119004,0.389783621317132,-0.396531678959704,0.807056005549001,-0.642068702091124,0.730399244482983
healthy,0.35156676712651,-0.730289000272076,0.209263465668929,0.12951635555105,-0.180469223106017,0.159423537035768,-0.628668616036041,0.132309456733211
healthy,0.716140139793053,-0.828111257901863,0.43868172314424,0.567933844902241,-0.672285840131032,0.718663554449331,-0.812661577994144,0.428198027775535
healthy,0.689377157156092,-0.868081149663006,0.707326528101255,0.601726590057698,-0.759028874675522,0.724336374312956,-0.884372368508897,0.735382957400639
healthy,0.640442093270144,-0.581316124603138,0.718837700925307,0.621349601902292,-0.729551177534514,0.672943170734581,-0.868903994059682,0.657450852078373
moderate,0.821929969395023,-0.870505503322322,0.767902122292053,0.352644809605375,-0.451373580457657,0.82168143375086,-0.853160296441986,0.770105101663661
moderate,0.799119426292186,-0.834510690172172,0.811552884465544,0.287415377725248,-0.53214743556088,0.773984712528091,-0.856279326771762,0.789283482187889
moderate,0.491415141496566,-0.587870803801879,0.778746929322117,0.767034553092249,-0.645028925634506,0.545168999771925,-0.808596475111094,0.666055369780217
severe,0.6836553430376,-0.676570905544461,0.757186466775861,0.359971965750538,-0.470665532829717,0.366077985750919,-0.755045866515539,0.466591462446559
severe,-0.775715428400736,0.79044600145929,-0.770118071351879,-0.301315128437338,-0.575532206082,0.792958195714598,-0.787915981230771,0.798854420984237
severe,0.606421350323269,-0.739952362240873,0.652095730226154,0.452088198537955,-0.277068624711533,0.557475221447405,-0.739898049824384,0.622811953078516
severe,0.800959598608347,-0.737007095508877,0.752027304833347,-0.0604079224180847,-0.540393470321271,0.756791226223157,-0.775597701087886,0.725821950292606
