group,CD95,CD45RA,HLA,CD11c,CD1c,CD123,CD33
healthy,-0.214415462502671,0.434862658918533,-0.641748798099795,-0.800007776366426,-0.579045190202905,0.759277240076012,-0.683505379494452
healthy,0.0895632184530505,-0.464080826262335,0.715779850565476,0.791845965963084,0.590274922764409,-0.624320926961899,0.237573526963876
healthy,-0.366091111300725,0.577975581693454,-0.620326488902257,-0.839987530301744,-0.669417043308241,0.681723147345442,-0.520847974418139
healthy,-0.481191610694711,0.75765872944349,-0.351405486559303,-0.801575608039539,-0.782183559766201,0.838072349091452,-0.756798940721332
healthy,-0.723350410444725,0.627626747677528,-0.116158521118273,-0.796905500969777,-0.75910805121571,0.723741097883777,-0.807914236535616
moderate,-0.553666337691039,0.377438875081814,-0.422170653282235,-0.847721191014255,-0.708956650973342,0.669882292319842,-0.803951902675651
moderate,-0.208893804087183,-0.322489303129166,-0.403926581691685,-0.102066330028473,-0.225307459150226,-0.255429000947245,-0.104754871486022
moderate,-0.273042364063441,0.629816948109498,-0.304460363426039,-0.722057988146019,-0.6680779426171,0.750788493228977,-0.569582387979673
severe,0.405937161680303,-0.164174314730726,0.261260577800474,0.517271988134843,0.427439565428171,-0.376082096042257,0.591683186483108
severe,-0.0353851767160434,0.385056612198254,-0.222442122247344,-0.607711039787601,-0.0353985346327372,0.702314277702775,-0.601805166362354
severe,-0.42911935929669,0.236323238724543,-0.707958949653042,-0.660908550392626,-0.257815206647602,0.734032308843614,-0.63786283295328
severe,-0.645634375629831,0.519036461972875,-0.223036960258504,-0.79771391463957,-0.494119678719968,0.738230578689318,-0.751942423750535
