group,CD11c,CD1c,CD123,CD33,CD11c,CD1c,CD123,CD33
healthy,0.796402771506267,0.586201317302825,-0.696979136176223,0.67533314656468,-0.799559934504838,-0.489968410572324,0.70408119501523,-0.692450412975
healthy,-0.715804910840733,-0.434633789629114,0.787173403798856,-0.271060668417556,-0.745385196434611,-0.470404308328436,0.73435579264738,-0.269015201709084
healthy,0.836949342256743,0.772484500707351,-0.783476244629575,0.483117480511292,-0.850592139656616,-0.728221689007267,0.771624159587833,-0.522924195736845
healthy,-0.651336693219472,-0.474715653756187,0.591173350303354,-0.781275171414062,-0.670855341754284,-0.539799076004544,0.874046032015552,-0.691656170253289
healthy,0.703006112400243,0.571749574476864,-0.848939454785779,0.691474636199856,0.770529420223902,0.87630423117924,-0.421203365423552,0.76518421192254
moderate,0.803606114175402,0.639291895965308,-0.859390550021559,0.762072699954874,-0.137575776118706,-0.148230111029774,-0.169822465538311,-0.153948717420023
moderate,-0.815232090103295,-0.392980157257569,0.723523682922963,-0.820010398740911,-0.777406336959824,-0.305634235556143,0.816159895393512,-0.780392111328464
moderate,0.68114777683687,0.61763348592534,-0.770340900098098,0.570676381201987,-0.473948459149721,-0.195780403625618,0.774285550182817,-0.357872086020449
severe,-0.793376494225629,-0.647055898616832,0.756061498819222,-0.814309835088438,-0.82770564723131,-0.649336386223985,0.791744409167889,-0.782823733741142
severe,0.768252141055931,0.312394083995787,-0.775362568759327,0.754598832670875,-0.691463921693642,-0.222809181998131,0.746210934406514,-0.633906164214972
severe,0.503585587879307,0.2807575448422,-0.793287155232692,0.612123647080496,0.396349563016982,0.152694611926988,-0.810395566426605,0.605088996704248
severe,0.747487629173711,0.502524359292303,-0.530744497092404,0.720544397922445,-0.703913413284684,-0.457873046924133,0.749487480016787,-0.665642452191793
