group,CD95,CD45RA,HLA,CD11c,CD123,CD163,CD33
healthy,0.2094387210595,-0.433228169592987,0.619856813084408,0.815175060972968,-0.751961547675214,0.369128710127988,0.706448317876034
healthy,0.0720471830548358,-0.470656865624332,0.561496390778057,0.681137652404516,-0.820771208757841,0.321559569622617,0.281450771653732
healthy,0.339283638585515,-0.630493375656392,0.455811607423465,0.794367867155426,-0.800146537994759,0.324388965780921,0.470269693865343
healthy,0.513873187118602,-0.732771203003177,0.0628896630087692,0.686719162445657,-0.873071513978068,0.508129803282965,0.722204604870548
healthy,0.714936168300405,-0.616334775749301,-0.0002264263734649,0.757603091824243,-0.716651534741283,0.739590731839564,0.820296391279505
moderate,0.450274301714439,-0.485147758666343,0.173473595085157,0.778571796563392,-0.826837192388907,0.205973443055268,0.718747438979914
moderate,0.474297516832422,-0.446837366436361,0.507435033802271,0.816662314100487,-0.804860192990982,0.166953100704656,0.829605388790659
moderate,0.376883544002622,-0.63594406155664,0.240505562283015,0.590279568941193,-0.754177357178377,0.15401963228141,0.705552270699839
severe,0.370426220148969,-0.412685323127724,0.314592651659697,0.80655321970438,-0.74042910822211,0.404345206745193,0.829742910675587
severe,0.0484132816692679,-0.577576868445556,0.378298004241433,0.736356238459488,-0.830571799988039,0.289015468581273,0.762616032736373
severe,0.451301999973346,-0.203020676577843,0.752491500950641,0.602238384814455,-0.767543069817089,0.263408853001793,0.699320592441896
severe,0.64962475495981,-0.518003253564755,0.316532146599254,0.805109891681422,-0.716614249378861,0.384981345999159,0.745677063097802
