group,HLA,CD11c,CD1c,CD123,CD33,FCER1A
healthy,-0.669312504312875,-0.796905785416251,-0.646591707972803,0.69436553714723,-0.711565409755007,-0.47372310975439
healthy,0.0417682052349859,0.108937882232951,-0.166550333238099,-0.407751682011419,0.281704378542147,0.219425682501904
healthy,0.303679814864807,0.684708305185787,0.480862197349957,-0.721787758826871,0.394828824342946,0.444668346124894
healthy,-0.384507726354477,-0.767345905540859,-0.718352849995394,0.582702938644608,-0.782171694145227,-0.768611662855127
healthy,-0.190621532886634,0.108731294628395,-0.0353505355435203,-0.254606469085305,0.136781563048466,-0.144110860180859
moderate,-0.264360613719708,-0.789371800009729,-0.563013971756251,0.826871113914749,-0.757723227862212,-0.519880411417142
moderate,-0.549837602283341,-0.753450631632406,-0.377525669858605,0.685542808699985,-0.71987619854043,-0.192864027028983
moderate,-0.436444787798019,-0.659972254643653,-0.738330226832966,0.662416941760977,-0.603676152889384,-0.56991566377477
severe,0.448315691117151,0.852414791319212,0.711263893747178,-0.768444323407814,0.819150358065176,0.430213351316587
severe,-0.341087573290532,-0.664441674410725,-0.336036112137743,0.84547797012422,-0.708862155188786,-0.196214557490497
severe,0.767643429989702,0.731258424859045,0.375088156278894,-0.697099865631357,0.63709938252485,0.44105768119382
severe,-0.394880046047108,-0.792200196998361,-0.578174510842467,0.640511430078988,-0.761351006021647,-0.0509488111608683
