group,CD95,CD45RA,CD11c,CD1c,CD123,CD33
healthy,0.214663572381048,-0.43150719326964,0.812523067042522,0.57907425967571,-0.710255305518251,0.725004582300219
healthy,-0.0832815351939793,0.428250599994137,-0.414178333140577,-0.210094146652503,0.588299446195444,-0.231495774056342
healthy,0.317670683656738,-0.653478935056266,0.827856803107791,0.623528382909273,-0.785071705972768,0.46187473293161
healthy,0.432382623292176,-0.517052020085645,0.764651847585609,0.769249415264918,-0.543146719214368,0.645721204199245
healthy,0.361484088257272,-0.436270926860066,0.499340085767491,0.358275690118307,-0.600917535537832,0.38526838334989
moderate,-0.0161638673907466,0.417215090984213,-0.206295881729651,-0.313151679940211,0.473601036625086,-0.280535301311662
moderate,-0.289920589488974,-0.144922899540521,-0.365734427035668,-0.614095257184627,0.158349082891346,-0.268522692668029
moderate,0.193558603186935,-0.53430428768778,0.678550174839469,0.459633115254701,-0.66336109357204,0.357359825520272
severe,0.396031496086683,-0.478213865808695,0.825358676842679,0.650480061912598,-0.794242184307092,0.765654740557652
severe,0.191170810291215,0.350893041052848,-0.405172862533737,-0.103437904844818,0.416502565772702,-0.444358948208595
severe,0.295149322500728,0.234802077647695,0.231366884442068,0.251003348513815,-0.216380667290637,0.23552445717066
severe,0.661028617691658,-0.43492871573551,0.784070811474299,0.529806388911224,-0.558699961563692,0.750911910568137
