group,CD95,HLA,CD11c,CD1c,CD123,CD163,CD33
healthy,0.220395299368229,0.601120300131303,0.760064650099897,0.538898953084401,-0.750182944114367,0.306386938435415,0.647710878579309
healthy,-0.119414990040371,-0.618588368243231,-0.704083136054482,-0.481056916797124,0.615115017532669,-0.255292457058182,-0.29511328699169
healthy,-0.109109269664822,-0.0634085104938392,-0.0372722019464613,0.269317461311533,-0.185646498065962,-0.116145016556654,-0.13552765032343
healthy,0.103057811536958,0.116598978950484,0.370758533259531,0.491993672598583,-0.616298152628638,0.116280919900206,0.299654395082222
healthy,-0.657949785443025,-0.0631574123328853,-0.677599065472813,-0.566360844806069,0.724753727357262,-0.626093360972342,-0.710952524646925
moderate,-0.116924312325485,0.293903412023384,-0.265424770890869,-0.0257845655320699,0.54064127886336,-0.211255104631352,-0.269994892318275
moderate,-0.483733541088056,-0.54459017512651,-0.827165651584841,-0.391888983798972,0.787584118164854,-0.160727517342033,-0.834828615019884
moderate,-0.259163393808649,-0.175560764133185,-0.459286055676118,-0.196943337568263,0.539054669836925,-0.162721354839995,-0.307582279101338
severe,-0.36661220508673,-0.470577558783284,-0.823089082241799,-0.643728400082945,0.782425918464884,-0.263169542519263,-0.772262592700988
severe,0.0176358033426589,-0.604938968891797,-0.81465641689594,-0.407542764785377,0.74758069058119,-0.115345028876562,-0.79392818961869
severe,-0.35541398424051,-0.682162654694068,-0.535745530492527,-0.301847057624407,0.738214364913237,-0.195198446231923,-0.530598047758862
severe,-0.66776126277548,-0.328327579033114,-0.828231130599853,-0.473976228865402,0.698690871638705,-0.405283727675034,-0.767809987187444
