group,CD95,CD45RO,CD45RA,CD274,CD27,CD38,CD127
healthy,0.59177295152158,0.595791332194764,-0.0540047408754422,0.0951985517245751,-0.263003513057824,-0.0190823159397143,-0.129260450090313
healthy,0.340035586716996,0.710913116013341,-0.276405024215889,-0.0075962484049561,-0.362941551898573,-0.138605820394202,0.150644191730492
healthy,-0.0618139730345167,-0.0715042769207547,0.0514328286038112,-0.0835885589575244,-0.393529398412215,-0.0672413506373265,-0.282691886612585
healthy,-0.495054422589234,-0.511956636921879,0.598562768486676,-0.0616399699654979,0.476669083619932,0.482955841532958,-0.491766608249933
healthy,0.712467862792779,0.603172247053974,-0.413900398542821,-0.0318006240460635,-0.386692786433501,-0.289211256037723,-0.294269873092683
moderate,0.243966810986218,0.237287585336025,0.119635475757951,0.296059853187598,0.0750484520228853,0.202819441701211,0.0376229492767118
moderate,0.250056406578054,0.216037386329782,0.038730173018197,0.307422891327992,-0.241120294890052,0.207817429315393,-0.0099522216477665
moderate,0.315031293628961,0.257061712303004,0.118856327530864,0.219433884490437,-0.0391085622689544,0.188375312848619,0.0551518180991168
severe,0.449018100010713,0.493997730922254,-0.0796441708223124,0.195117448093405,-0.360900854702242,0.185975300207591,-0.0210438823817102
severe,-0.0500832855473863,-0.23299310643659,0.162223854414853,0.451818116817366,0.102234260755203,-0.0790749446806939,0.199157608315891
severe,-0.372466966904455,-0.131746726721082,-0.0393989577097888,-0.0475262700900296,0.0543360551546871,-0.163892189140018,-0.0129572320055674
severe,-0.46574158951422,-0.45140228701978,0.564934794900175,-0.349242239755529,0.458158257214827,-0.009895212651049,0.106717350426968
