group,CD28,CD95,CD45RO,CD45RA,HLA,CD27,CD127
healthy,-0.308736690232686,-0.0269225974341952,-0.0479834000745371,0.0584311829911818,0.0619295045448429,0.0179053096637207,-0.545871224886068
healthy,-0.214950908750276,-0.383460232003665,-0.781091983156661,0.348772899407795,-0.0552784993889956,0.45782659835139,-0.143440209064014
healthy,0.209568996178859,-0.202034460905239,-0.429191303437843,0.0999942519509997,-0.0111549091850859,0.795902993614518,-0.202464804829086
healthy,-0.148865713738257,-0.127284499375243,0.0276908459884223,-0.147159136919316,-0.238712306957338,-0.294253017698241,0.495151200064455
healthy,0.123239212937129,-0.168707415963001,0.046725568243239,-0.180184330475981,-0.528658695098505,0.327952620448178,0.108243359849095
moderate,-0.474083251180145,-0.310403852937635,-0.39655938046866,0.150896427817998,0.0488827708731747,-0.211384841019293,-0.499463710972105
moderate,0.18514565602014,-0.0259306772480258,-0.179064823703465,0.0244502274977633,0.0205198395222595,0.307390728515091,-0.365333980758564
moderate,0.356459719653485,0.607033493507266,0.517146967921847,-0.300040078881904,0.153807133417065,-0.140311334072335,0.0102013988661565
severe,0.303386704476782,0.354992133250834,0.524298338097226,-0.531591763344945,0.0879949576255553,-0.454038742680851,-0.0787584025980046
severe,-0.0967439362547608,0.0665241841719388,-0.0605843694372512,0.0508575337371592,-0.0807908466682572,-0.0464813358952068,0.445168154698637
severe,-0.157089673398086,-0.262060380615815,-0.320167440332247,-0.138032963969649,-0.158574624750555,-0.21300881905451,0.133624971919632
severe,-0.51740809822811,-0.675146133338935,-0.627992564126315,0.36130681762424,-0.337024382951945,0.0411278156177748,-0.32890027665464
