group,CD95,CD45RO,CD45RA,CD27,CD25,CD127
healthy,0.489058095801762,0.5542666102736,-0.267472984415085,-0.457256189309525,0.131181905596176,-0.206572737247672
healthy,0.099640488633824,0.065224924262787,0.0216891844772829,-0.131935929648367,0.235222959684708,-0.250649283016175
healthy,0.409232831052739,0.59754972484135,-0.179901376782858,-0.739444497327508,-0.0460908499354688,0.0512048926630021
healthy,-0.647456558075605,-0.742629205148659,0.573489778076034,0.201237824951238,-0.244932753501579,-0.0885090869209378
healthy,0.13506421420622,-0.204099231283865,0.228310375657172,-0.145056493074735,0.111084906485031,-0.721986650414115
moderate,0.620173106934409,0.738951024802827,-0.503748743184993,-0.404022049407526,0.277498572506175,-0.0753317759861977
moderate,0.568075861608149,0.646696454723709,-0.290049070680055,-0.516358645510496,0.1697767775786,-0.0129470855617429
moderate,0.620854277714406,0.605869042698185,-0.54201342601412,-0.468547499036208,0.113813336006178,-0.014724947011089
severe,0.452143629613463,0.631583310852136,-0.52127881175318,-0.486145685608595,-0.10868573256301,-0.0278886605351996
severe,0.283712401076706,0.448101572329822,0.0128802184850296,-0.0818748952931175,0.0385283546088588,-0.220692999867998
severe,0.0652794964818546,0.0500692632720462,0.267868444766891,0.0412847807413721,0.0228713345743894,0.178937489648695
severe,-0.339786665075009,-0.291514516747102,0.418026490337197,0.296220183506114,-0.551447776977209,-0.196356068005019
