group,CD3,CD95,CD45RO,CD45RA,CD123,CD163,CD27,CD127
healthy,-0.256855580585524,0.511093898285173,0.583431246551303,-0.358884909341421,-0.0761347755468395,-0.148632405141575,-0.510967012338984,-0.102039548069818
healthy,-0.428408399875445,0.411801754658734,0.7356123281486,-0.303223042039179,0.0735938506107141,0.0330900826726611,-0.475677795645533,0.0348185222069152
healthy,-0.367448573080614,0.261280781468653,0.389775922318859,-0.138430370648674,-0.0686487341073182,-0.0282416046349732,-0.585622816891372,-0.0545679243295802
healthy,-0.116904493575733,0.0385416189969421,-0.19328967180147,0.0199383207082125,-0.141034515518064,-0.0940278496183041,-0.250219770707699,-0.515792789258351
healthy,-0.34657356798942,0.239084227261979,0.0849200837656708,-0.209956121525055,-0.050194996470312,-0.0579590466137268,-0.438310409548463,-0.432753317737505
moderate,-0.27495224073739,0.313315599301793,0.37703596225716,-0.457249561384697,-0.117893796337071,-0.242924827385947,-0.559658545170982,-0.256412848994188
moderate,-0.268388055302671,0.142531271099274,0.288807191762295,-0.337552472888836,-0.133446138283254,-0.172825322529558,-0.349958172827297,-0.147838189540779
moderate,-0.32274146058126,0.468185083577201,0.354130075070411,-0.379355314109942,-0.0116614782576891,-0.0576446903234691,-0.492695060469504,-0.0609048505901072
severe,-0.365444634032335,0.429914686244021,0.612923774001047,-0.53893475877467,-0.0504204531256412,-0.101150585925993,-0.499115288975608,-0.0407229899181586
severe,-0.345065788545393,0.100706407014591,0.554191133011586,-0.138668906692415,0.0659611554283233,0.180989637012751,-0.162007476400965,-0.277401525969295
severe,0.0536993607203699,0.284976329117377,0.244151190373095,0.386769924008811,0.537248037378658,0.5532833399489,0.139286520114793,0.0860144386738848
severe,-0.565813864817461,0.0927078217064407,-0.100736959374332,-0.0384056334068496,0.0711497122916496,0.0683792111511675,-0.345931060579555,-0.115197420676091
